Name,Team,Swimmer_ID,hometown,Starting season,Power_Index,FR,Events-FR,Freshman_PPE,SO,Events-SO,Sophomore_ppe,JR,Events-JR,Junior_ppe,SR,Events-SR,Senior_ppe,Total_Points,Total_Events,Total_ppe
Connor Brown,University of Notre Dame,197186,NY,19,11.38,12,3,4.0,1,3,0.3333333333333333,,,0,,,0,13,6,2.1666666666666665
Daniel Fujan,University of Notre Dame,261677,MN,19,26.61,,,0,,,0,,,0,,,0,0,0,0
Benjamin Gorski,University of Notre Dame,219437,VA,19,15.77,,,0,,,0,18,3,6.0,,,0,18,3,6.0
Matthew Grauslys,University of Notre Dame,182374,NH,19,10.39,48,3,16.0,25,3,8.333333333333334,21,3,7.0,26,3,8.666666666666666,120,12,10.0
Maciej Olszewski,University of Notre Dame,235570,IL,19,5.88,,,0,,,0,,,0,,,0,0,0,0
Zane Parker,University of Notre Dame,249625,IN,16,-1,,,0,,,0,,,0,9,2,4.5,9,2,4.5
Jack Russell,University of Notre Dame,181472,MI,19,23.32,,,0,,,0,,,0,0,3,0.0,0,3,0.0
Steven Shek,University of Notre Dame,197179,NJ,19,16.88,1,3,0.3333333333333333,,,0,30,3,10.0,24,3,8.0,55,9,6.111111111111111
Daniel Speers,University of Notre Dame,293550,GBR,19,13.53,33,2,16.5,48,2,24.0,43,3,14.333333333333334,,,0,124,7,17.714285714285715
David Stewart,University of Notre Dame,228835,NY,19,23.35,,,0,,,0,,,0,,,0,0,0,0
Zachary Stump,University of Notre Dame,279302,LA,19,24.38,,,0,,,0,,,0,,,0,0,0,0
Cristian Herrera,University of Notre Dame,514383,CA,20,100.00,,,0,,,0,,,0,,,0,0,0,0
Soren Holm,University of Notre Dame,298831,DEN,17,100.00,,,0,,,0,,,0,0,3,0.0,0,3,0.0
Nicholas Milikich,University of Notre Dame,172474,TX,20,7.05,4,3,1.3333333333333333,10,3,3.3333333333333335,2,3,0.6666666666666666,18,3,6.0,34,12,2.8333333333333335
Jack Montesi,University of Notre Dame,514384,CT,20,-1,30,3,10.0,45,3,15.0,43,4,10.75,44,4,11.0,162,14,11.571428571428571
Rex Riley,University of Notre Dame,269801,PA,20,6.74,,,0,,,0,2,2,1.0,18,3,6.0,20,5,4.0
Aaron Schultz,University of Notre Dame,270321,VA,20,1.24,15,3,5.0,61,3,20.333333333333332,45,3,15.0,42,4,10.5,163,13,12.538461538461538
Aidan Sweeney,University of Notre Dame,200081,GA,17,7.35,,,0,,,0,,,0,,,0,0,0,0
Joseph Turk,University of Notre Dame,167028,MA,20,4.67,4,3,1.3333333333333333,17,3,5.666666666666667,14,3,4.666666666666667,,,0,35,9,3.888888888888889
Luke Barrett,University of Notre Dame,317711,IN,21,18.24,,,0,,,0,,,0,,,0,0,0,0
John Becker,University of Notre Dame,269104,MN,21,11.86,,,0,,,0,,,0,,,0,0,0,0
Garrett Clarke,University of Notre Dame,199834,NY,18,14.08,,,0,,,0,,,0,29,3,9.666666666666666,29,3,9.666666666666666
Will Cumberland,University of Notre Dame,347406,VA,21,-1,6,3,2.0,34,3,11.333333333333334,40,3,13.333333333333334,,,0,80,9,8.88888888888889
Sadler McKeen,University of Notre Dame,325782,AL,21,3.81,31,3,10.333333333333334,27,3,9.0,57,3,19.0,,,0,115,9,12.777777777777779
Justin Roy,University of Notre Dame,344058,TX,21,10.42,,,0,,,0,,,0,,,0,0,0,0
Brendan Santana,University of Notre Dame,357082,CA,21,2.29,31,4,7.75,,,0,,,0,,,0,31,4,7.75
Christopher Smith,University of Notre Dame,271493,NJ,21,1.34,,,0,,,0,,,0,,,0,0,0,0
David Waszak,University of Notre Dame,697220,OH,21,100.00,12,3,4.0,,,0,,,0,,,0,12,3,4.0
Zachary Yeadon,University of Notre Dame,170217,TX,21,1.24,56,3,18.666666666666668,50,3,16.666666666666668,80,3,26.666666666666668,,,0,186,9,20.666666666666668
Daniel Bannon,University of Notre Dame,394059,VA,22,13.00,,,0,,,0,,,0,,,0,0,0,0
Márton Barta,University of Notre Dame,409601,HUN,22,1.39,14,3,4.666666666666667,20,3,6.666666666666667,,,0,,,0,34,6,5.666666666666667
Joshua Bottelberghe,University of Notre Dame,357164,WA,22,1.81,43,3,14.333333333333334,51,3,17.0,,,0,,,0,94,6,15.666666666666666
Austin Flaute,University of Notre Dame,393351,OH,22,100.00,30,3,10.0,15,3,5.0,,,0,,,0,45,6,7.5
Matthew Limbacher,University of Notre Dame,501618,FL,22,8.02,14,3,4.666666666666667,16,3,5.333333333333333,,,0,,,0,30,6,5.0
Maxwell Miranda,University of Notre Dame,271986,RI,22,3.10,18,3,6.0,42,3,14.0,,,0,,,0,60,6,10.0
David Petrison,University of Notre Dame,959994,NY,22,100.00,9,3,3.0,11,3,3.6666666666666665,,,0,,,0,20,6,3.3333333333333335
Zachary Smith,University of Notre Dame,325906,AL,22,1.87,30,3,10.0,5,3,1.6666666666666667,,,0,,,0,35,6,5.833333333333333
Matthew Somerville,University of Notre Dame,934834,CYM,22,-1,,,0,,,0,,,0,,,0,0,0,0
Andrew Winton,University of Notre Dame,382571,GA,22,1.85,35,3,11.666666666666666,7,3,2.3333333333333335,,,0,,,0,42,6,7.0
William Barao,University of Notre Dame,500118,MA,23,2.29,16,3,5.333333333333333,,,0,,,0,,,0,16,3,5.333333333333333
Nicholas Chase,University of Notre Dame,456972,IA,23,19.93,,,0,,,0,,,0,,,0,0,0,0
David DeBacker,University of Notre Dame,608399,MI,23,100.00,12,3,4.0,,,0,,,0,,,0,12,3,4.0
Alec DeLong,University of Notre Dame,484874,IN,23,9.59,,,0,,,0,,,0,,,0,0,0,0
John Fitzpatrick,University of Notre Dame,433417,PA,23,6.71,12,3,4.0,,,0,,,0,,,0,12,3,4.0
Jack Hoagland,University of Notre Dame,400803,NM,23,4.91,83,3,27.666666666666668,,,0,,,0,,,0,83,3,27.666666666666668
Liam Hutchinson,University of Notre Dame,494484,IL,23,6.43,,,0,,,0,,,0,,,0,0,0,0
Charles Korndorffer,University of Notre Dame,443450,LA,23,13.95,,,0,,,0,,,0,,,0,0,0,0
William Rains,University of Notre Dame,1179971,CA,23,100.00,,,0,,,0,,,0,,,0,0,0,0
Michael Rosa,University of Notre Dame,457023,IL,23,16.73,,,0,,,0,,,0,,,0,0,0,0
Topher Stensby,University of Notre Dame,399734,IL,23,5.35,,,0,,,0,,,0,,,0,0,0,0
Luke Thornbrue,University of Notre Dame,357352,OR,23,1.72,,,0,,,0,,,0,,,0,0,0,0
Nicholas Torres,University of Notre Dame,400016,NY,23,8.50,,,0,,,0,,,0,,,0,0,0,0
Cason Wilburn,University of Notre Dame,403088,VA,23,2.20,0,3,0.0,,,0,,,0,,,0,0,3,0.0
Kourosh Ahani,University of Pittsburgh,172052,ON,15,3.41,,,0,,,0,12,3,4.0,17,3,5.666666666666667,29,6,4.833333333333333
Harris Bergman,University of Pittsburgh,204221,PA,15,100.00,,,0,,,0,24,3,8.0,2,3,0.6666666666666666,26,6,4.333333333333333
Haden Calegan,University of Pittsburgh,111837,IA,17,4.80,,,0,0,4,0.0,7,3,2.3333333333333335,11,3,3.6666666666666665,18,10,1.8
Alexander Cook,University of Pittsburgh,202550,PA,16,10.92,,,0,0,3,0.0,,,0,0,3,0.0,0,6,0.0
Mark Cooney,University of Pittsburgh,181673,IN,16,17.43,,,0,,,0,,,0,,,0,0,0,0
Anthony Galante,University of Pittsburgh,295115,CA,17,-1,23,3,7.666666666666667,20,3,6.666666666666667,21,3,7.0,,,0,64,9,7.111111111111111
Spencer Gray,University of Pittsburgh,189666,IL,17,11.42,,,0,0,2,0.0,0,3,0.0,0,3,0.0,0,8,0.0
Ryan Hausler,University of Pittsburgh,216642,PA,14,8.40,,,0,,,0,,,0,,,0,0,0,0
Sean Heiden,University of Pittsburgh,158947,PA,16,5.42,,,0,8,3,2.6666666666666665,0,3,0.0,,,0,8,6,1.3333333333333333
Gabriel Larson,University of Pittsburgh,178950,PA,17,2.40,2,3,0.6666666666666666,5,4,1.25,1,3,0.3333333333333333,26,3,8.666666666666666,34,13,2.6153846153846154
Jacob Lenhart,University of Pittsburgh,303681,PA,14,-1,,,0,,,0,,,0,0,3,0.0,0,3,0.0
Jonathan Lierley,University of Pittsburgh,97587,SC,15,4.29,,,0,,,0,13,3,4.333333333333333,2,3,0.6666666666666666,15,6,2.5
Zachary Lierley,University of Pittsburgh,155785,SC,17,1.53,22,3,7.333333333333333,14,3,4.666666666666667,21,3,7.0,32,3,10.666666666666666,89,12,7.416666666666667
Andrew McCarthy,University of Pittsburgh,167699,WA,16,11.39,,,0,5,3,1.6666666666666667,,,0,0,3,0.0,5,6,0.8333333333333334
Luke Nosbisch,University of Pittsburgh,142705,PA,15,3.36,,,0,,,0,15,3,5.0,14,3,4.666666666666667,29,6,4.833333333333333
Joseph Notarianni,University of Pittsburgh,151959,CO,15,13.90,,,0,,,0,,,0,5,5,1.0,5,5,1.0
Connor O'Prey,University of Pittsburgh,168761,PA,16,-1,,,0,0,3,0.0,9,3,3.0,,,0,9,6,1.5
Mackenzie Rice,University of Pittsburgh,166014,OH,16,3.26,,,0,15,4,3.75,0,3,0.0,6,5,1.2,21,12,1.75
Alexander Rodenkirk,University of Pittsburgh,85278,WI,15,19.42,,,0,,,0,7,3,2.3333333333333335,,,0,7,3,2.3333333333333335
Scott Simmer,University of Pittsburgh,215883,CA,17,3.84,11,3,3.6666666666666665,0,3,0.0,0,3,0.0,6,3,2.0,17,12,1.4166666666666667
Nathan Smith,University of Pittsburgh,295124,USA,14,-1,,,0,,,0,,,0,,,0,0,0,0
Aaron Snyder,University of Pittsburgh,122590,PA,15,-1,,,0,,,0,28,2,14.0,,,0,28,2,14.0
David Sweeney,University of Pittsburgh,115122,GA,16,4.87,,,0,24,3,8.0,17,3,5.666666666666667,0,3,0.0,41,9,4.555555555555555
Matthew Tankle,University of Pittsburgh,140468,PA,16,16.40,,,0,2,3,0.6666666666666666,,,0,0,3,0.0,2,6,0.3333333333333333
Jacob Tovey,University of Pittsburgh,166288,TX,17,10.87,,,0,,,0,0,3,0.0,0,2,0.0,0,5,0.0
Martin Vogel,University of Pittsburgh,219801,RSA,16,100.00,,,0,13,3,4.333333333333333,17,3,5.666666666666667,4,3,1.3333333333333333,34,9,3.7777777777777777
Avery Warrington,University of Pittsburgh,75021,FL,16,3.93,,,0,8,3,2.6666666666666665,7,3,2.3333333333333335,,,0,15,6,2.5
Seth Wenner,University of Pittsburgh,85260,PA,14,-1,,,0,,,0,,,0,,,0,0,0,0
Austin Doss,University of Pittsburgh,201237,PA,18,4.28,,,0,,,0,,,0,,,0,0,0,0
Thomas Jones,University of Pittsburgh,205552,VA,18,13.10,,,0,,,0,,,0,,,0,0,0,0
Bryce Kampfe,University of Pittsburgh,159044,KS,16,51.94,,,0,,,0,,,0,,,0,0,0,0
Dillon Lancenese,University of Pittsburgh,233438,PA,15,11.91,,,0,,,0,,,0,,,0,0,0,0
Tyler Matheny,University of Pittsburgh,204227,PA,15,100.00,,,0,,,0,,,0,,,0,0,0,0
Sean Rhinehart,University of Pittsburgh,165852,MD,15,18.93,,,0,,,0,,,0,1,3,0.3333333333333333,1,3,0.3333333333333333
Brendan Barry,University of Pittsburgh,285067,CA,19,19.33,0,3,0.0,,,0,,,0,,,0,0,3,0.0
Noah Crawford,University of Pittsburgh,233429,PA,19,31.75,,,0,,,0,,,0,,,0,0,0,0
Nathan Crikelair,University of Pittsburgh,403962,PA,19,-1,,,0,,,0,,,0,,,0,0,0,0
Zachary Grimaldi,University of Pittsburgh,238090,CA,19,20.44,,,0,,,0,,,0,,,0,0,0,0
Brian Lovasik,University of Pittsburgh,275167,PA,19,14.00,6,3,2.0,18,3,6.0,5,4,1.25,17,3,5.666666666666667,46,13,3.5384615384615383
Andrei Mihailescu,University of Pittsburgh,275145,PA,19,5.89,,,0,,,0,,,0,,,0,0,0,0
Michael Pichette,University of Pittsburgh,225335,OH,19,12.35,0,3,0.0,,,0,,,0,,,0,0,3,0.0
Aaron Sett,University of Pittsburgh,236552,CO,19,11.60,10,3,3.3333333333333335,42,3,14.0,0,3,0.0,3,3,1.0,55,12,4.583333333333333
NICK STACHEL,University of Pittsburgh,275117,PA,19,25.84,9,3,3.0,4,3,1.3333333333333333,,,0,,,0,13,6,2.1666666666666665
Julian Zedeker,University of Pittsburgh,424087,USA,19,-1,,,0,,,0,,,0,,,0,0,0,0
Walker Brooks,University of Pittsburgh,305951,FL,20,12.20,,,0,,,0,,,0,,,0,0,0,0
Thomas Cestare,University of Pittsburgh,290952,PA,20,14.68,0,3,0.0,,,0,,,0,,,0,0,3,0.0
Joseph Ference,University of Pittsburgh,517775,PA,20,100.00,22,3,7.333333333333333,,,0,,,0,,,0,22,3,7.333333333333333
Samy Helmbacher,University of Pittsburgh,433591,FRA,20,100.00,7,3,2.3333333333333335,35,4,8.75,67,4,16.75,64,3,21.333333333333332,173,14,12.357142857142858
Samuel Jenkins,University of Pittsburgh,525602,WI,20,-1,,,0,,,0,,,0,,,0,0,0,0
Boris Kulizhnikov,University of Pittsburgh,363665,NV,18,-1,,,0,,,0,3,3,1.0,9,2,4.5,12,5,2.4
Henrique Machado,University of Pittsburgh,249159,BRA,17,100.00,,,0,,,0,,,0,28,4,7.0,28,4,7.0
Matthew McCool,University of Pittsburgh,517780,USA,20,-1,,,0,,,0,,,0,,,0,0,0,0
BRIAN RAMSEY,University of Pittsburgh,342453,PA,20,6.24,7,3,2.3333333333333335,30,3,10.0,,,0,,,0,37,6,6.166666666666667
Jonathan Robbins,University of Pittsburgh,323407,VA,20,19.54,,,0,,,0,,,0,,,0,0,0,0
Luke Smutny,University of Pittsburgh,254044,FL,20,7.75,10,3,3.3333333333333335,17,3,5.666666666666667,7,4,1.75,15,4,3.75,49,14,3.5
Eben Vorster,University of Pittsburgh,506387,SAF,20,3.16,24,3,8.0,11,3,3.6666666666666665,47,3,15.666666666666666,41,4,10.25,123,13,9.461538461538462
Ellis Cannon,University of Pittsburgh,502641,PA,21,18.35,0,3,0.0,0,3,0.0,0,3,0.0,,,0,0,9,0.0
NATHAN ELZER,University of Pittsburgh,342941,PA,21,18.35,,,0,0,3,0.0,,,0,,,0,0,3,0.0
John Fauteux,University of Pittsburgh,292661,ON,19,37.11,,,0,,,0,0,3,0.0,20,3,6.666666666666667,20,6,3.3333333333333335
Judd Fishman,University of Pittsburgh,393143,IL,21,25.68,,,0,0,3,0.0,0,3,0.0,,,0,0,6,0.0
Kevin Kondrit,University of Pittsburgh,377336,PA,21,14.50,,,0,,,0,,,0,,,0,0,0,0
Cody Lenart,University of Pittsburgh,356990,VA,21,21.01,,,0,,,0,,,0,,,0,0,0,0
Noah Marble,University of Pittsburgh,393210,IN,21,100.00,14,3,4.666666666666667,,,0,,,0,,,0,14,3,4.666666666666667
Artur Polyak,University of Pittsburgh,636774,ISR,21,-1,,,0,,,0,,,0,,,0,0,0,0
Ármin Reményi,University of Pittsburgh,395581,HUN,21,12.49,0,3,0.0,16,3,5.333333333333333,18,3,6.0,,,0,34,9,3.7777777777777777
ZACK RULLI,University of Pittsburgh,489210,PA,21,13.16,,,0,,,0,,,0,,,0,0,0,0
Ryan Schonbachler,University of Pittsburgh,241620,PA,21,8.37,0,3,0.0,1,3,0.3333333333333333,2,3,0.6666666666666666,,,0,3,9,0.3333333333333333
Bence SZUCSIK,University of Pittsburgh,451025,HUN,21,16.54,9,4,2.25,0,3,0.0,,,0,,,0,9,7,1.2857142857142858
Blaise Vera,University of Pittsburgh,362091,MS,21,2.61,,,0,75,3,25.0,68,3,22.666666666666668,,,0,143,6,23.833333333333332
Jason Young,University of Pittsburgh,417251,PA,21,10.99,0,3,0.0,11,3,3.6666666666666665,,,0,,,0,11,6,1.8333333333333333
Serhii Ahadzhanian,University of Pittsburgh,1024908,UKR,22,-1,0,3,0.0,2,3,0.6666666666666666,,,0,,,0,2,6,0.3333333333333333
Wesley Ahart,University of Pittsburgh,809314,PA,22,100.00,0,3,0.0,1,3,0.3333333333333333,,,0,,,0,1,6,0.16666666666666666
Hoch Alec,University of Pittsburgh,961006,NY,22,-1,,,0,,,0,,,0,,,0,0,0,0
Jacob Bowery,University of Pittsburgh,324070,VA,22,27.61,,,0,,,0,,,0,,,0,0,0,0
Gabriel Cardenes,University of Pittsburgh,519412,BRA,21,8.99,,,0,,,0,,,0,,,0,0,0,0
Jeb Darhower,University of Pittsburgh,419010,PA,22,17.97,,,0,,,0,,,0,,,0,0,0,0
Nick Garberina,University of Pittsburgh,477223,NC,22,100.00,,,0,,,0,,,0,,,0,0,0,0
Luay Hilmi,University of Pittsburgh,347566,VA,22,18.32,0,3,0.0,0,2,0.0,,,0,,,0,0,5,0.0
Alec Hoch,University of Pittsburgh,396257,NY,21,15.45,,,0,0,3,0.0,0,2,0.0,,,0,0,5,0.0
Joshua Parquet,University of Pittsburgh,485256,IN,22,100.00,0,3,0.0,,,0,,,0,,,0,0,3,0.0
Quinton Pierce,University of Pittsburgh,347642,CO,22,6.52,,,0,,,0,,,0,,,0,0,0,0
Daniel RETANA,University of Pittsburgh,672216,CRC,22,21.95,,,0,,,0,,,0,,,0,0,0,0
Anton Tamkovitch,University of Pittsburgh,377667,PA,22,19.87,,,0,,,0,,,0,,,0,0,0,0
Lucas Carchiaro,University of Pittsburgh,1176937,PA,20,-1,,,0,,,0,,,0,,,0,0,0,0
Lucas Cerchiaro,University of Pittsburgh,419072,PA,20,-1,,,0,,,0,,,0,,,0,0,0,0
Jerry Chen,University of Pittsburgh,493804,PA,23,21.02,14,3,4.666666666666667,,,0,,,0,,,0,14,3,4.666666666666667
Wojciech Dutkowiak,University of Pittsburgh,596689,POL,23,1.80,5,3,1.6666666666666667,,,0,,,0,,,0,5,3,1.6666666666666667
Stephen Hopta,University of Pittsburgh,401518,PA,22,15.56,,,0,0,3,0.0,,,0,,,0,0,3,0.0
Jered Moore,University of Pittsburgh,448593,AZ,23,22.97,0,3,0.0,,,0,,,0,,,0,0,3,0.0
Szymon Pytkarczyk,University of Pittsburgh,1187354,POL,23,100.00,,,0,,,0,,,0,,,0,0,0,0
Szymon Pytlarczyk,University of Pittsburgh,509865,POL,23,9.95,0,3,0.0,,,0,,,0,,,0,0,3,0.0
