Name,Team,Swimmer_ID,hometown,Starting season,Power_Index,FR,Events-FR,Freshman_PPE,SO,Events-SO,Sophomore_ppe,JR,Events-JR,Junior_ppe,SR,Events-SR,Senior_ppe,Total_Points,Total_Events,Total_ppe
Charles Rommel,University of Virginia,217375,NY,15,2.90,,,0,,,0,6,3,2.0,13,3,4.333333333333333,19,6,3.1666666666666665
Jordan Sacks,University of Virginia,126098,IL,16,100.00,,,0,,,0,15,3,5.0,17,3,5.666666666666667,32,6,5.333333333333333
Colby Shinholser,University of Virginia,177501,MD,16,100.00,,,0,,,0,15,3,5.0,36,3,12.0,51,6,8.5
Gregory Stoffa,University of Virginia,147968,VA,16,-1,,,0,,,0,,,0,,,0,0,0,0
Adam Whitener,University of Virginia,178051,MI,17,2.26,,,0,0,3,0.0,,,0,,,0,0,3,0.0
Jake Bowtell,University of Virginia,276602,CT,18,100.00,,,0,0,3,0.0,,,0,,,0,0,3,0.0
Brendan Casey,University of Virginia,215881,CA,15,2.25,,,0,,,0,,,0,92,3,30.666666666666668,92,3,30.666666666666668
Peter Georgiadis,University of Virginia,210310,FL,18,4.84,3,3,1.0,20,3,6.666666666666667,14,3,4.666666666666667,43,3,14.333333333333334,80,12,6.666666666666667
Nicholas Magana,University of Virginia,161190,PER,18,3.34,9,3,3.0,18,3,6.0,,,0,,,0,27,6,4.5
Henrik Pohlmann,University of Virginia,179692,OH,18,2.16,25,3,8.333333333333334,4,3,1.3333333333333333,,,0,,,0,29,6,4.833333333333333
Sarik Tara,University of Virginia,362296,TUR,18,-1,1,3,0.3333333333333333,10,3,3.3333333333333335,,,0,6,3,2.0,17,9,1.8888888888888888
Anthony Albracht,University of Virginia,149653,MO,19,7.67,8,3,2.6666666666666665,8,3,2.6666666666666665,24,3,8.0,29,3,9.666666666666666,69,12,5.75
Zachary Fong,University of Virginia,201366,NJ,19,3.40,44,3,14.666666666666666,38,3,12.666666666666666,68,3,22.666666666666668,73,3,24.333333333333332,223,12,18.583333333333332
Luke Georgiadis,University of Virginia,427494,USA,18,-1,,,0,,,0,,,0,,,0,0,0,0
Daniel Golczewski,University of Virginia,183634,MD,19,16.82,13,3,4.333333333333333,11,3,3.6666666666666665,2,3,0.6666666666666666,,,0,26,9,2.888888888888889
Brandon Goldstein,University of Virginia,220394,MD,19,18.19,,,0,,,0,,,0,,,0,0,0,0
Matthew Hrabchak,University of Virginia,269818,MA,19,10.52,41,3,13.666666666666666,14,3,4.666666666666667,,,0,,,0,55,6,9.166666666666666
Bryce Keblish,University of Virginia,196001,CT,19,12.58,13,3,4.333333333333333,31,3,10.333333333333334,61,3,20.333333333333332,60,3,20.0,165,12,13.75
Gust Kouvaris,University of Virginia,181459,MI,19,15.36,19,3,6.333333333333333,8,3,2.6666666666666665,15,3,5.0,5,3,1.6666666666666667,47,12,3.9166666666666665
Samuel Magnan,University of Virginia,218611,PA,19,4.66,50,3,16.666666666666668,39,3,13.0,64,3,21.333333333333332,49,3,16.333333333333332,202,12,16.833333333333332
Albert Subirats,University of Virginia,462838,USA,16,-1,,,0,,,0,,,0,,,0,0,0,0
Omer Tara,University of Virginia,427497,USA,18,-1,,,0,,,0,,,0,,,0,0,0,0
Murat Yildirim,University of Virginia,416938,TUR,19,100.00,21,4,5.25,,,0,,,0,,,0,21,4,5.25
Ryan Baker,University of Virginia,259923,VA,20,1.76,14,3,4.666666666666667,39,3,13.0,66,3,22.0,76,3,25.333333333333332,195,12,16.25
Joseph Clark,University of Virginia,393304,GBR,20,100.00,50,4,12.5,47,4,11.75,56,4,14.0,41,4,10.25,194,16,12.125
Henry Keel,University of Virginia,261148,TN,20,7.51,,,0,,,0,0,3,0.0,,,0,0,3,0.0
Samson Miller,University of Virginia,260487,VA,20,100.00,0,3,0.0,,,0,,,0,,,0,0,3,0.0
Jared Norton,University of Virginia,304409,VA,20,3.05,0,3,0.0,,,0,,,0,,,0,0,3,0.0
Jason Quinn,University of Virginia,272851,OH,20,8.67,,,0,,,0,,,0,,,0,0,0,0
Frederick Schubert,University of Virginia,270320,VA,20,1.09,43,3,14.333333333333334,40,3,13.333333333333334,72,3,24.0,90,3,30.0,245,12,20.416666666666668
Ian Shelton,University of Virginia,521209,VA,20,100.00,42,3,14.0,19,3,6.333333333333333,32,3,10.666666666666666,49,3,16.333333333333332,142,12,11.833333333333334
Nickolas Switzer,University of Virginia,290734,VA,20,10.06,,,0,,,0,,,0,,,0,0,0,0
Kyle Ward,University of Virginia,236151,OK,20,7.07,4,3,1.3333333333333333,,,0,,,0,,,0,4,3,1.3333333333333333
Jacob Wells,University of Virginia,290536,VA,20,17.46,,,0,13,3,4.333333333333333,17,3,5.666666666666667,,,0,30,6,5.0
John Whiteside,University of Virginia,291487,CT,20,3.34,62,3,20.666666666666668,,,0,,,0,,,0,62,3,20.666666666666668
Keefer Barnum,University of Virginia,356970,KY,21,2.08,50,3,16.666666666666668,53,3,17.666666666666668,54,3,18.0,,,0,157,9,17.444444444444443
Tristan Gess,University of Virginia,351666,CO,21,100.00,0,2,0.0,4,3,1.3333333333333333,,,0,,,0,4,5,0.8
Robert Giller,University of Virginia,347155,CT,21,1.78,76,3,25.333333333333332,,,0,,,0,,,0,76,3,25.333333333333332
Matthew Otto,University of Virginia,328398,DE,21,2.63,57,3,19.0,51,3,17.0,31,2,15.5,,,0,139,8,17.375
Samuel Schilling,University of Virginia,343230,MN,21,1.76,0,3,0.0,23,3,7.666666666666667,55,3,18.333333333333332,,,0,78,9,8.666666666666666
George Wozencraft,University of Virginia,314313,TX,21,8.82,21,3,7.0,50,3,16.666666666666668,,,0,,,0,71,6,11.833333333333334
Lewis BURRAS,University of Virginia,672378,UAE,22,1.64,,,0,,,0,,,0,,,0,0,0,0
Walker Creedon,University of Virginia,867522,NC,22,-1,46,3,15.333333333333334,28,3,9.333333333333334,,,0,,,0,74,6,12.333333333333334
Nico Ferrara,University of Virginia,403121,FL,22,13.03,,,0,,,0,,,0,,,0,0,0,0
Jacob Greenberg,University of Virginia,409736,CA,22,100.00,,,0,39,3,13.0,,,0,,,0,39,3,13.0
Justin Grender,University of Virginia,358293,OH,22,1.04,22,3,7.333333333333333,39,3,13.0,,,0,,,0,61,6,10.166666666666666
Connor Killion,University of Virginia,401733,PA,22,11.77,,,0,,,0,,,0,,,0,0,0,0
Oliver Rus,University of Virginia,405538,CT,22,4.08,,,0,,,0,,,0,,,0,0,0,0
Casey Storch,University of Virginia,291415,VA,22,1.27,57,3,19.0,75,3,25.0,,,0,,,0,132,6,22.0
Sean Conway,University of Virginia,404527,VA,23,1.60,55,3,18.333333333333332,,,0,,,0,,,0,55,3,18.333333333333332
Maxwell Edwards,University of Virginia,423439,NC,23,5.47,23,3,7.666666666666667,,,0,,,0,,,0,23,3,7.666666666666667
Joshua Fong,University of Virginia,478350,NJ,23,13.18,11,3,3.6666666666666665,,,0,,,0,,,0,11,3,3.6666666666666665
Daniel Gyenis,University of Virginia,403018,VA,23,7.41,9,3,3.0,,,0,,,0,,,0,9,3,3.0
Konnar Klinksiek,University of Virginia,413787,TX,23,10.54,26,3,8.666666666666666,,,0,,,0,,,0,26,3,8.666666666666666
August Lamb,University of Virginia,422733,VA,23,10.24,35,3,11.666666666666666,,,0,,,0,,,0,35,3,11.666666666666666
Henry Schutte,University of Virginia,419054,MI,23,7.27,3,3,1.0,,,0,,,0,,,0,3,3,1.0
John Walker,University of Virginia,423433,NC,23,1.62,57,3,19.0,,,0,,,0,,,0,57,3,19.0
Jack Wright,University of Virginia,485684,PA,23,2.53,37,3,12.333333333333334,,,0,,,0,,,0,37,3,12.333333333333334
Drake Becksted,Virginia Tech,125083,NY,16,2.40,,,0,,,0,0,3,0.0,0,3,0.0,0,6,0.0
Benjamin Borgert,Virginia Tech,149835,FL,17,5.83,,,0,,,0,,,0,,,0,0,0,0
Lucas Bureau,Virginia Tech,147963,PA,16,5.87,,,0,52,3,17.333333333333332,42,3,14.0,43,3,14.333333333333334,137,9,15.222222222222221
Owen Burns,Virginia Tech,102572,NJ,15,5.82,,,0,,,0,54,3,18.0,75,3,25.0,129,6,21.5
Kyle Butts,Virginia Tech,204034,MD,15,100.00,,,0,,,0,48,3,16.0,68,3,22.666666666666668,116,6,19.333333333333332
Harrison Cefalo,Virginia Tech,177789,NJ,15,2.17,,,0,,,0,44,3,14.666666666666666,37,3,12.333333333333334,81,6,13.5
James Crabb,Virginia Tech,273835,DC,15,3.89,,,0,,,0,10,3,3.3333333333333335,,,0,10,3,3.3333333333333335
Emmett Dignan,Virginia Tech,85708,CT,15,4.78,,,0,,,0,16,3,5.333333333333333,,,0,16,3,5.333333333333333
Brandon Fiala,Virginia Tech,167682,VA,17,1.67,61,3,20.333333333333332,82,3,27.333333333333332,92,3,30.666666666666668,92,3,30.666666666666668,327,12,27.25
Christopher Fiala,Virginia Tech,294105,VA,15,100.00,,,0,,,0,38,3,12.666666666666666,33,3,11.0,71,6,11.833333333333334
Ryan Hawkins,Virginia Tech,66712,NC,15,-1,,,0,,,0,79,3,26.333333333333332,,,0,79,3,26.333333333333332
Collin Higgins,Virginia Tech,102312,NC,15,3.89,,,0,,,0,65,3,21.666666666666668,29,3,9.666666666666666,94,6,15.666666666666666
Nathan Hoisington,Virginia Tech,21972,KS,15,-1,,,0,,,0,,,0,,,0,0,0,0
Kevin Hunt,Virginia Tech,179851,VA,15,19.91,,,0,,,0,,,0,,,0,0,0,0
Morgan Latimer,Virginia Tech,94014,VA,15,4.78,,,0,,,0,77,5,15.4,57,4,14.25,134,9,14.88888888888889
Jacob Ores,Virginia Tech,108940,Co,15,2.71,,,0,,,0,51,3,17.0,53,3,17.666666666666668,104,6,17.333333333333332
Robert Owen,Virginia Tech,166930,MA,17,2.07,66,3,22.0,70,3,23.333333333333332,80,3,26.666666666666668,82,4,20.5,298,13,22.923076923076923
Brian Rothschild,Virginia Tech,179680,VA,16,6.34,,,0,,,0,,,0,,,0,0,0,0
Thomas Shinholser,Virginia Tech,294107,MD,14,-1,,,0,,,0,,,0,61,3,20.333333333333332,61,3,20.333333333333332
Adam Stacklin,Virginia Tech,109935,IL,17,3.75,,,0,13,3,4.333333333333333,3,3,1.0,6,3,2.0,22,9,2.4444444444444446
Logan Stevens,Virginia Tech,255359,KY,16,100.00,,,0,46,3,15.333333333333334,67,3,22.333333333333332,56,3,18.666666666666668,169,9,18.77777777777778
Zachary Switzer,Virginia Tech,179615,VA,17,2.75,40,3,13.333333333333334,38,3,12.666666666666666,28,4,7.0,55,3,18.333333333333332,161,13,12.384615384615385
Michal Szuba,Virginia Tech,233372,POL,16,1.45,,,0,47,3,15.666666666666666,64,3,21.333333333333332,40,3,13.333333333333334,151,9,16.77777777777778
Nicholas Tremols,Virginia Tech,54066,VA,15,2.82,,,0,,,0,49,3,16.333333333333332,,,0,49,3,16.333333333333332
John Trope,Virginia Tech,79682,VA,15,-1,,,0,,,0,,,0,,,0,0,0,0
Anthony Zoldork,Virginia Tech,202846,VA,14,6.86,,,0,,,0,,,0,,,0,0,0,0
Mauro Castro-Silva,Virginia Tech,361551,VA,18,-1,46,3,15.333333333333334,77,3,25.666666666666668,40,3,13.333333333333334,32,3,10.666666666666666,195,12,16.25
Peter Conzola,Virginia Tech,202065,PA,18,3.37,,,0,,,0,,,0,,,0,0,0,0
Eric Delmonte,Virginia Tech,148388,ME,18,4.40,,,0,,,0,,,0,,,0,0,0,0
Justin Edwards,Virginia Tech,234828,VA,18,2.75,0,3,0.0,6,3,2.0,18,3,6.0,17,3,5.666666666666667,41,12,3.4166666666666665
Jack Gigliotti,Virginia Tech,177063,VA,15,100.00,,,0,,,0,,,0,12,3,4.0,12,3,4.0
Christopher Grimmett-Norris,Virginia Tech,270239,DC,18,3.79,29,3,9.666666666666666,,,0,0,3,0.0,,,0,29,6,4.833333333333333
Harrison Pierce,Virginia Tech,184032,VA,18,1.14,2,3,0.6666666666666666,3,3,1.0,16,3,5.333333333333333,14,3,4.666666666666667,35,12,2.9166666666666665
Mauro Silva,Virginia Tech,375578,USA,18,-1,,,0,,,0,,,0,,,0,0,0,0
Brandon Tutty,Virginia Tech,184281,NJ,18,3.88,,,0,,,0,,,0,,,0,0,0,0
Christopher Wang,Virginia Tech,216527,NJ,18,6.86,,,0,,,0,,,0,,,0,0,0,0
Brent Benedict,Virginia Tech,230457,PA,19,14.54,19,4,4.75,9,3,3.0,,,0,,,0,28,7,4.0
Jordan Bovee,Virginia Tech,232158,VA,19,17.35,,,0,,,0,,,0,,,0,0,0,0
Eduardo Castro-Silva,Virginia Tech,518711,MEX,19,100.00,59,3,19.666666666666668,44,3,14.666666666666666,13,3,4.333333333333333,,,0,116,9,12.88888888888889
Michael Craddock,Virginia Tech,200105,VA,19,4.00,35,3,11.666666666666666,56,3,18.666666666666668,34,3,11.333333333333334,16,3,5.333333333333333,141,12,11.75
Steffen Erickson,Virginia Tech,229209,VA,19,14.65,,,0,,,0,,,0,,,0,0,0,0
Ian Ho,Virginia Tech,268034,HKG,19,-1,2,3,0.6666666666666666,22,3,7.333333333333333,26,3,8.666666666666666,28,3,9.333333333333334,78,12,6.5
Oscar Ike,Virginia Tech,403698,CT,19,15.99,,,0,,,0,,,0,,,0,0,0,0
John Kale,Virginia Tech,237438,VA,19,15.03,,,0,,,0,,,0,,,0,0,0,0
Nicholas McGarry,Virginia Tech,216601,VA,19,5.88,,,0,,,0,,,0,,,0,0,0,0
Christopher Outlaw,Virginia Tech,225745,VA,19,15.99,,,0,,,0,,,0,,,0,0,0,0
Nathan Pawlowicz,Virginia Tech,222159,VA,19,12.61,2,3,0.6666666666666666,0,3,0.0,,,0,,,0,2,6,0.3333333333333333
Benjamin Schiesl,Virginia Tech,222282,VA,19,100.00,54,3,18.0,44,3,14.666666666666666,61,3,20.333333333333332,49,3,16.333333333333332,208,12,17.333333333333332
Norbert Szabo,Virginia Tech,456823,HUN,19,100.00,27,3,9.0,57,3,19.0,67,3,22.333333333333332,41,3,13.666666666666666,192,12,16.0
Adam Thomas,Virginia Tech,224359,TN,19,22.13,,,0,,,0,,,0,,,0,0,0,0
Sean Workman,Virginia Tech,271240,IL,19,10.57,25,3,8.333333333333334,24,3,8.0,4,3,1.3333333333333333,25,3,8.333333333333334,78,12,6.5
Aaron Boyd,Virginia Tech,260472,VA,20,9.30,,,0,,,0,,,0,,,0,0,0,0
Hassler Carroll,Virginia Tech,265399,OH,20,6.31,7,3,2.3333333333333335,4,3,1.3333333333333333,0,3,0.0,,,0,11,9,1.2222222222222223
Brandon Fabian,Virginia Tech,348918,VA,20,7.29,,,0,,,0,,,0,,,0,0,0,0
David Herbert,Virginia Tech,241219,VA,20,13.56,,,0,13,3,4.333333333333333,1,1,1.0,,,0,14,4,3.5
Jacob Lamparella,Virginia Tech,259543,MD,19,19.68,,,0,19,4,4.75,3,4,0.75,28,4,7.0,50,12,4.166666666666667
Colin Murphy,Virginia Tech,270423,TX,20,3.72,,,0,0,3,0.0,,,0,,,0,0,3,0.0
Nicholas Olson,Virginia Tech,209370,NY,19,20.60,,,0,,,0,,,0,,,0,0,0,0
Cooper Pitts,Virginia Tech,270215,SC,20,15.62,,,0,,,0,,,0,,,0,0,0,0
Nicholas Schwegel,Virginia Tech,274037,VA,20,10.08,,,0,,,0,,,0,,,0,0,0,0
Simon Shi,Virginia Tech,268352,VA,20,6.62,,,0,0,3,0.0,11,3,3.6666666666666665,13,3,4.333333333333333,24,9,2.6666666666666665
Connor Doyle,Virginia Tech,361874,PA,21,2.51,,,0,,,0,0,3,0.0,,,0,0,3,0.0
Collin Fiala,Virginia Tech,379681,VA,21,20.45,,,0,,,0,,,0,,,0,0,0,0
Gershwin Greene,Virginia Tech,290752,TN,21,8.04,,,0,,,0,,,0,,,0,0,0,0
Thomas Hallock,Virginia Tech,379631,VA,21,1.70,0,3,0.0,12,3,4.0,48,3,16.0,,,0,60,9,6.666666666666667
Alexander McMurry,Virginia Tech,333255,NC,21,9.98,,,0,,,0,,,0,,,0,0,0,0
Lasse Pittioni,Virginia Tech,495549,DEN,20,21.76,,,0,6,3,2.0,,,0,,,0,6,3,2.0
Lane Stone,Virginia Tech,323288,VA,21,1.23,61,3,20.333333333333332,76,3,25.333333333333332,64,3,21.333333333333332,,,0,201,9,22.333333333333332
Samuel Tornqvist,Virginia Tech,636759,SWE,21,100.00,40,3,13.333333333333334,73,4,18.25,67,3,22.333333333333332,,,0,180,10,18.0
Ethan Apisa,Virginia Tech,347332,VA,21,14.10,,,0,,,0,,,0,,,0,0,0,0
Henry Claesson,Virginia Tech,366408,IL,22,5.68,0,3,0.0,0,3,0.0,,,0,,,0,0,6,0.0
Brennan Doss,Virginia Tech,403678,VA,22,4.64,14,3,4.666666666666667,24,3,8.0,,,0,,,0,38,6,6.333333333333333
Dylan Eichberg,Virginia Tech,394114,VA,22,4.15,,,0,27,3,9.0,,,0,,,0,27,3,9.0
Benjamin Hicks,Virginia Tech,403027,MD,22,9.32,,,0,,,0,,,0,,,0,0,0,0
Alexander Hines,Virginia Tech,304490,TN,21,4.57,,,0,,,0,,,0,,,0,0,0,0
Antani Ivanov,Virginia Tech,355089,BUL,22,1.15,53,3,17.666666666666668,73,3,24.333333333333332,,,0,,,0,126,6,21.0
Philip Manoff,Virginia Tech,357121,VA,22,1.77,28,3,9.333333333333334,54,5,10.8,,,0,,,0,82,8,10.25
Filippo maso,Virginia Tech,941682,ITA,22,100.00,43,3,14.333333333333334,56,3,18.666666666666668,,,0,,,0,99,6,16.5
Keith Myburgh,Virginia Tech,197365,VA,22,1.59,29,3,9.666666666666666,37,3,12.333333333333334,,,0,,,0,66,6,11.0
Justin Rich,Virginia Tech,291569,VA,20,6.70,,,0,,,0,,,0,,,0,0,0,0
Alexander Wright,Virginia Tech,401372,WA,22,6.52,0,3,0.0,,,0,,,0,,,0,0,3,0.0
Noah Zawadzki,Virginia Tech,473925,NC,22,100.00,49,3,16.333333333333332,60,3,20.0,,,0,,,0,109,6,18.166666666666668
Hunter Cassady,Virginia Tech,495634,VA,23,20.95,,,0,,,0,,,0,,,0,0,0,0
Jaedin Clark,Virginia Tech,574596,AZ,23,26.69,,,0,,,0,,,0,,,0,0,0,0
Taj Cole,Virginia Tech,438783,FL,23,100.00,7,3,2.3333333333333335,,,0,,,0,,,0,7,3,2.3333333333333335
Noah Desman,Virginia Tech,404377,VA,22,11.21,,,0,,,0,,,0,,,0,0,0,0
William Koeppen,Virginia Tech,404413,VA,23,18.10,8,3,2.6666666666666665,,,0,,,0,,,0,8,3,2.6666666666666665
Cobi Lopez Miro,Virginia Tech,375812,AL,23,12.32,3,3,1.0,,,0,,,0,,,0,3,3,1.0
Joseph Perreault,Virginia Tech,1195483,VA,23,100.00,18,3,6.0,,,0,,,0,,,0,18,3,6.0
Ananias Pouch,Virginia Tech,664320,NV,23,2.49,53,3,17.666666666666668,,,0,,,0,,,0,53,3,17.666666666666668
Ryan Vipavetz,Virginia Tech,465847,MD,23,3.94,0,3,0.0,,,0,,,0,,,0,0,3,0.0
Forest Webb,Virginia Tech,616715,VA,23,13.82,35,4,8.75,,,0,,,0,,,0,35,4,8.75
Estefan Albiero,University of Louisville,227248,KY,17,21.33,,,0,,,0,,,0,,,0,0,0,0
Brennen Berger,University of Louisville,151967,IN,17,3.26,,,0,,,0,23,3,7.666666666666667,28,3,9.333333333333334,51,6,8.5
Sam Blair,University of Louisville,294456,MI,14,-1,,,0,,,0,,,0,,,0,0,0,0
Caryle Blondell,University of Louisville,199019,TRI,15,5.91,,,0,,,0,,,0,22,3,7.333333333333333,22,3,7.333333333333333
David Boland,University of Louisville,118354,MI,17,2.65,,,0,25,3,8.333333333333334,42,3,14.0,34,3,11.333333333333334,101,9,11.222222222222221
Nathaniel Bond,University of Louisville,148905,KY,16,14.90,,,0,,,0,,,0,,,0,0,0,0
Victor Borduchi,University of Louisville,294457,USA,14,-1,,,0,,,0,,,0,,,0,0,0,0
Addison Bray,University of Louisville,112344,IN,15,4.86,,,0,,,0,,,0,55,3,18.333333333333332,55,3,18.333333333333332
Joe Brown,University of Louisville,152116,TX,17,4.82,,,0,,,0,,,0,,,0,0,0,0
Trevor Carroll,University of Louisville,162030,IN,17,3.64,,,0,74,3,24.666666666666668,78,4,19.5,71,3,23.666666666666668,223,10,22.3
Kameron Chastain,University of Louisville,85942,IN,15,6.93,,,0,,,0,,,0,,,0,0,0,0
Pedro Coutinho,University of Louisville,245420,FL,16,21.43,,,0,,,0,33,3,11.0,27,3,9.0,60,6,10.0
Thomas Dahlia,University of Louisville,294458,KY,15,100.00,,,0,,,0,,,0,79,3,26.333333333333332,79,3,26.333333333333332
Joao De Lucca,University of Louisville,147887,BRA,15,-1,,,0,,,0,,,0,,,0,0,0,0
Bryan Draganosky,University of Louisville,160369,PA,16,2.68,,,0,,,0,37,3,12.333333333333334,,,0,37,3,12.333333333333334
Rudy Edelen,University of Louisville,148983,KY,15,5.43,,,0,,,0,,,0,38,3,12.666666666666666,38,3,12.666666666666666
Christian Garkani,University of Louisville,148680,CA,17,3.31,,,0,,,0,,,0,,,0,0,0,0
Aaron Greene,University of Louisville,146687,TX,17,1.76,,,0,51,3,17.0,39,3,13.0,39,3,13.0,129,9,14.333333333333334
Murilo Gustineli,University of Louisville,363664,NV,17,-1,,,0,,,0,,,0,,,0,0,0,0
Nicholas Hasemann,University of Louisville,294460,IL,17,10.02,,,0,,,0,2,3,0.6666666666666666,,,0,2,3,0.6666666666666666
Ruben Izarra,University of Louisville,199947,FL,16,-1,,,0,,,0,,,0,,,0,0,0,0
Matthias Lindenbauer,University of Louisville,244234,GER,17,100.00,,,0,62,3,20.666666666666668,53,3,17.666666666666668,62,3,20.666666666666668,177,9,19.666666666666668
Lemar Linton,University of Louisville,69959,KY,15,11.42,,,0,,,0,,,0,,,0,0,0,0
Juan Lopez,University of Louisville,243735,COL,15,100.00,,,0,,,0,,,0,,,0,0,0,0
Brett Mackenzie,University of Louisville,167744,OH,16,4.34,,,0,,,0,,,0,,,0,0,0,0
Ryan Massey,University of Louisville,164404,TX,17,3.18,,,0,,,0,47,3,15.666666666666666,9,3,3.0,56,6,9.333333333333334
Evan Noble,University of Louisville,157252,IL,15,-1,,,0,,,0,,,0,,,0,0,0,0
Neil O'Halloran,University of Louisville,57817,OR,15,-1,,,0,,,0,,,0,,,0,0,0,0
Sean Piner,University of Louisville,245425,GA,16,100.00,,,0,,,0,20,3,6.666666666666667,31,3,10.333333333333334,51,6,8.5
Joshua Quallen,University of Louisville,113390,OH,17,1.13,,,0,68,3,22.666666666666668,65,3,21.666666666666668,70,3,23.333333333333332,203,9,22.555555555555557
Matthew Ryan,University of Louisville,217446,IN,15,-1,,,0,,,0,,,0,,,0,0,0,0
William Schultz,University of Louisville,189856,KY,17,2.20,,,0,,,0,12,3,4.0,18,3,6.0,30,6,5.0
Nolan Smith,University of Louisville,227181,KY,17,24.11,,,0,,,0,,,0,,,0,0,0,0
Grigory Tarasevich,University of Louisville,201580,RUS,17,9.39,,,0,60,4,15.0,73,4,18.25,84,4,21.0,217,12,18.083333333333332
Nolan Tesone,University of Louisville,102926,CO,16,2.74,,,0,,,0,75,3,25.0,77,3,25.666666666666668,152,6,25.333333333333332
Dexter Thomas,University of Louisville,152620,AR,16,9.38,,,0,,,0,,,0,,,0,0,0,0
Mihael Vukic,University of Louisville,256985,CRO,17,1.69,,,0,,,0,,,0,,,0,0,0,0
Brooks Wilmoth,University of Louisville,48209,AR,14,10.42,,,0,,,0,,,0,,,0,0,0,0
Kevin Wilmoth,University of Louisville,149158,AR,15,-1,,,0,,,0,,,0,,,0,0,0,0
Aaron Young,University of Louisville,102327,OR,15,2.82,,,0,,,0,,,0,61,3,20.333333333333332,61,3,20.333333333333332
Marcelo Acosta,University of Louisville,344357,ESA,15,2.53,,,0,,,0,,,0,61,3,20.333333333333332,61,3,20.333333333333332
Ryan Bohn,University of Louisville,361918,USA,15,-1,,,0,,,0,,,0,,,0,0,0,0
Carlos Claverie,University of Louisville,305346,VEN,18,100.00,53,3,17.666666666666668,78,3,26.0,66,3,22.0,79,3,26.333333333333332,276,12,23.0
Clayton Helsley,University of Louisville,227545,KY,18,17.43,,,0,,,0,,,0,,,0,0,0,0
Todd Owen,University of Louisville,271720,KY,18,1.89,38,3,12.666666666666666,15,3,5.0,,,0,3,2,1.5,56,8,7.0
Jonathan Zoucha,University of Louisville,180829,OR,18,2.07,,,0,32,3,10.666666666666666,23,3,7.666666666666667,31,3,10.333333333333334,86,9,9.555555555555555
Abel Aulbach,University of Louisville,213010,AK,19,-1,,,0,,,0,0,3,0.0,,,0,0,3,0.0
Jacob DeMercurio,University of Louisville,227496,KY,19,21.65,,,0,,,0,,,0,,,0,0,0,0
Daniel Fecteau,University of Louisville,424700,KS,19,100.00,6,3,2.0,41,3,13.666666666666666,24,3,8.0,62,3,20.666666666666668,133,12,11.083333333333334
Zach Harting,University of Louisville,241084,AL,19,7.72,73,3,24.333333333333332,77,3,25.666666666666668,70,3,23.333333333333332,67,3,22.333333333333332,287,12,23.916666666666668
Troy Holder,University of Louisville,428281,USA,17,-1,,,0,,,0,,,0,,,0,0,0,0
Mate Kovacs,University of Louisville,262924,IN,19,18.80,,,0,,,0,11,3,3.6666666666666665,1,3,0.3333333333333333,12,6,2.0
Andrej Barna,University of Louisville,347172,SRB,20,2.13,40,3,13.333333333333334,73,3,24.333333333333332,65,3,21.666666666666668,65,3,21.666666666666668,243,12,20.25
Graham Barrett,University of Louisville,272476,MA,20,11.06,,,0,11,3,3.6666666666666665,13,3,4.333333333333333,,,0,24,6,4.0
Mark Chernov,University of Louisville,515606,RUS,20,-1,,,0,,,0,,,0,,,0,0,0,0
Evan Cooper,University of Louisville,262933,IN,20,100.00,,,0,,,0,,,0,,,0,0,0,0
Keegan Foulke,University of Louisville,347765,CO,20,2.08,43,3,14.333333333333334,16,3,5.333333333333333,14,3,4.666666666666667,,,0,73,9,8.11111111111111
Etay Gurevich,University of Louisville,515610,ISR,20,-1,42,3,14.0,73,3,24.333333333333332,,,0,,,0,115,6,19.166666666666668
Jarrett Jones,University of Louisville,288449,MA,20,3.67,44,3,14.666666666666666,52,3,17.333333333333332,22,3,7.333333333333333,25,3,8.333333333333334,143,12,11.916666666666666
Sean Riley,University of Louisville,329324,NY,20,100.00,2,3,0.6666666666666666,,,0,,,0,,,0,2,3,0.6666666666666666
Derek Sander,University of Louisville,325777,AL,20,2.79,,,0,,,0,,,0,,,0,0,0,0
Samuel Steele,University of Louisville,236971,AL,20,4.71,,,0,30,3,10.0,19,3,6.333333333333333,13,3,4.333333333333333,62,9,6.888888888888889
Nicolas Albiero,University of Louisville,227249,KY,21,1.04,87,5,17.4,86,6,14.333333333333334,91,5,18.2,,,0,264,16,16.5
Spencer Carl,University of Louisville,338257,MI,21,1.39,,,0,,,0,,,0,,,0,0,0,0
Joseph Hampel,University of Louisville,227569,KY,21,8.42,,,0,,,0,,,0,,,0,0,0,0
Daniel Pinto,University of Louisville,697223,PER,21,100.00,14,3,4.666666666666667,42,3,14.0,52,3,17.333333333333332,,,0,108,9,12.0
Anderson Sellers,University of Louisville,264241,TX,20,15.39,,,0,,,0,,,0,,,0,0,0,0
Theodore Smith,University of Louisville,346023,FL,21,2.47,41,3,13.666666666666666,18,3,6.0,16,3,5.333333333333333,,,0,75,9,8.333333333333334
Nikolaos SOFIANIDIS,University of Louisville,450665,GRE,21,6.25,53,3,17.666666666666668,48,3,16.0,42,3,14.0,,,0,143,9,15.88888888888889
Evgenii SOMOV,University of Louisville,672382,RUS,21,100.00,80,3,26.666666666666668,67,3,22.333333333333332,90,3,30.0,,,0,237,9,26.333333333333332
