Name,Team,FR,Events-FR,SO,Events-SO,JR,Events-JR,SR,Events-SR,Total Points
Zachary Nees,University of Miami (Florida),,,,,,,24,2,24
Stephen Wilfong,University of Miami (Florida),50,2,,,,,,,50
Tanner Wilfong,University of Miami (Florida),,,,,,,,,0
Briadam Herrera,University of Miami (Florida),64,2,64,2,56,2,64,2,248
Tanner Willfong,University of Miami (Florida),,,,,28,1,,,28
David Dinsmore,University of Miami (Florida),52,2,32,1,32,1,32,1,148
Zachary Cooper,University of Miami (Florida),62,3,65,3,28,1,,,155
Max Flory,University of Miami (Florida),61,3,,,,,,,61
Brodie Scapens,University of Miami (Florida),,,,,,,76,3,76
Joshua Beals,"University of North Carolina, Chapel Hill",,,,,,,0,3,0
Brian Bollerman,"University of North Carolina, Chapel Hill",,,,,30,3,44,3,74
Christian Caveness,"University of North Carolina, Chapel Hill",,,,,,,,,0
Benjamin Colley,"University of North Carolina, Chapel Hill",,,62,3,71,4,75,3,208
Matthew Conway,"University of North Carolina, Chapel Hill",3,3,,,41,3,14,3,58
William Deforest,"University of North Carolina, Chapel Hill",7,3,30,3,20,3,,,57
Bradley Dillon,"University of North Carolina, Chapel Hill",,,,,63,3,,,63
Kyle Ficker,"University of North Carolina, Chapel Hill",,,,,,,,,0
Ryan Fox,"University of North Carolina, Chapel Hill",,,,,45,3,39,3,84
Alexander Gianino,"University of North Carolina, Chapel Hill",,,,,79,3,,,79
Dominick Glavich,"University of North Carolina, Chapel Hill",,,,,43,3,16,2,59
Christian Gondek,"University of North Carolina, Chapel Hill",,,,,,,,,0
Clifton Gordon,"University of North Carolina, Chapel Hill",,,,,,,,,0
Nicolas Graesser,"University of North Carolina, Chapel Hill",35,4,68,4,67,4,,,170
Logan Heck,"University of North Carolina, Chapel Hill",22,3,31,3,18,3,,,71
Tyler Hill,"University of North Carolina, Chapel Hill",,,,,17,3,28,4,45
Matthew Kwatyra,"University of North Carolina, Chapel Hill",,,,,,,,,0
Samuel Lewis,"University of North Carolina, Chapel Hill",68,3,75,4,84,4,,,227
Nicholas Lowe,"University of North Carolina, Chapel Hill",,,,,,,23,3,23
Bryce Mendes,"University of North Carolina, Chapel Hill",,,,,,,,,0
Osmund Moyer,"University of North Carolina, Chapel Hill",,,44,3,29,3,,,73
Patrick Myers,"University of North Carolina, Chapel Hill",,,,,54,3,41,3,95
Jack Nyquist,"University of North Carolina, Chapel Hill",53,3,71,3,65,3,58,3,247
Lucas Popp,"University of North Carolina, Chapel Hill",,,,,,,8,3,8
Michael Popp,"University of North Carolina, Chapel Hill",,,,,,,,,0
Patrick Riess,"University of North Carolina, Chapel Hill",,,,,,,,,0
David Speese,"University of North Carolina, Chapel Hill",,,,,17,3,20,3,37
Theodore Steinkamp,"University of North Carolina, Chapel Hill",,,,,,,,,0
John Stilley,"University of North Carolina, Chapel Hill",,,,,48,3,,,48
Eugene Tee,"University of North Carolina, Chapel Hill",22,3,,,12,3,2,3,36
Graham Williams,"University of North Carolina, Chapel Hill",,,,,,,,,0
Kurt Wolhrab,"University of North Carolina, Chapel Hill",,,27,3,48,3,48,3,123
Sean Burston,"University of North Carolina, Chapel Hill",40,3,,,40,3,32,3,112
Bailey Burt,"University of North Carolina, Chapel Hill",,,,,,,,,0
Henry Campbell,"University of North Carolina, Chapel Hill",75,3,73,3,82,3,45,4,275
James Casey,"University of North Carolina, Chapel Hill",,,,,0,3,4,3,4
William Close,"University of North Carolina, Chapel Hill",,,,,,,,,0
Robert Douglas,"University of North Carolina, Chapel Hill",,,,,,,,,0
Corey John,"University of North Carolina, Chapel Hill",,,,,,,,,0
Luke Lechner,"University of North Carolina, Chapel Hill",,,,,,,,,0
Michael McBryan,"University of North Carolina, Chapel Hill",,,36,3,39,3,52,3,127
Weston Miller,"University of North Carolina, Chapel Hill",,,,,,,,,0
Philip Perdue,"University of North Carolina, Chapel Hill",6,3,2,3,0,3,0,3,8
Dalton Shaw,"University of North Carolina, Chapel Hill",,,14,3,,,,,14
Thomas Bilden,"University of North Carolina, Chapel Hill",,,,,,,,,0
Noah Cairns,"University of North Carolina, Chapel Hill",10,3,7,3,2,4,,,19
Patrick Cusick,"University of North Carolina, Chapel Hill",14,3,18,3,1,3,5,3,38
William Harrison,"University of North Carolina, Chapel Hill",12,3,,,,,,,12
William Martin,"University of North Carolina, Chapel Hill",,,,,,,,,0
Zuhayr Pigot,"University of North Carolina, Chapel Hill",,,,,,,,,0
Austin Sellers,"University of North Carolina, Chapel Hill",,,6,3,2,3,2,3,10
John Welker,"University of North Carolina, Chapel Hill",,,,,,,,,0
Bryan Allen,"University of North Carolina, Chapel Hill",23,3,24,3,34,3,29,3,110
Devin Bellamy,"University of North Carolina, Chapel Hill",11,3,,,,,,,11
Gregory Brocato,"University of North Carolina, Chapel Hill",3,3,0,3,0,3,3,3,6
John Cobb,"University of North Carolina, Chapel Hill",7,3,5,3,,,,,12
Craig Emslie,"University of North Carolina, Chapel Hill",,,,,51,4,,,51
Brendan Feehery,"University of North Carolina, Chapel Hill",,,6,3,,,,,6
Andrew Heise,"University of North Carolina, Chapel Hill",,,,,,,0,3,0
Max Jenkins,"University of North Carolina, Chapel Hill",,,,,,,,,0
Jorden Merrilees,"University of North Carolina, Chapel Hill",,,,,,,76,4,76
Michael Meyer,"University of North Carolina, Chapel Hill",,,,,,,72,3,72
Andrew Owsiany,"University of North Carolina, Chapel Hill",4,3,,,12,3,9,3,25
Graham Weaver,"University of North Carolina, Chapel Hill",,,,,,,,,0
Valdas Abaliksta,"University of North Carolina, Chapel Hill",35,3,35,3,51,3,,,121
James Courtney,"University of North Carolina, Chapel Hill",,,,,,,,,0
Dimitrios Dimitriou,"University of North Carolina, Chapel Hill",26,3,0,3,39,3,,,65
Gregory Duncan,"University of North Carolina, Chapel Hill",64,3,,,,,,,64
Alvin Jiang,"University of North Carolina, Chapel Hill",32,3,29,4,,,,,61
Daniel Koenigsperger,"University of North Carolina, Chapel Hill",,,0,3,0,3,,,0
Nicholas Loomis,"University of North Carolina, Chapel Hill",,,,,1,3,2,3,3
Coleman Manchester,"University of North Carolina, Chapel Hill",,,,,,,,,0
William Messenger,"University of North Carolina, Chapel Hill",0,3,0,3,35,3,,,35
Nicholas Palmer,"University of North Carolina, Chapel Hill",,,,,0,3,,,0
Hans Schroeder,"University of North Carolina, Chapel Hill",0,3,,,,,,,0
Christopher Thames,"University of North Carolina, Chapel Hill",16,3,15,3,32,3,,,63
Thomas Bretzmann,"University of North Carolina, Chapel Hill",4,3,0,3,,,,,4
Tucker Burhans,"University of North Carolina, Chapel Hill",0,3,7,4,,,,,7
Eli Coan,"University of North Carolina, Chapel Hill",,,13,3,0,3,,,13
Andrew Owslany,"University of North Carolina, Chapel Hill",,,,,,,,,0
Jacob Rauch,"University of North Carolina, Chapel Hill",7,3,36,3,,,,,43
Sterling Smith,"University of North Carolina, Chapel Hill",22,3,,,,,,,22
Tomas Sungalia,"University of North Carolina, Chapel Hill",0,3,29,3,,,,,29
Luka Tomic,"University of North Carolina, Chapel Hill",,,,,,,0,4,0
Leo Collins,"University of North Carolina, Chapel Hill",,,,,,,,,0
Alexander Hart,"University of North Carolina, Chapel Hill",48,2,,,,,,,48
Adam Kerr,"University of North Carolina, Chapel Hill",,,,,,,,,0
Donovan Lahmann,"University of North Carolina, Chapel Hill",,,,,,,,,0
Alex Mayes,"University of North Carolina, Chapel Hill",,,,,,,,,0
Alexander Mays,"University of North Carolina, Chapel Hill",8,4,,,,,,,8
Samson Mumber,"University of North Carolina, Chapel Hill",,,,,,,,,0
Andrew Rafalko,"University of North Carolina, Chapel Hill",,,,,,,,,0
Fabian Stepinski,"University of North Carolina, Chapel Hill",38,3,,,,,,,38
Santos Villalon,"University of North Carolina, Chapel Hill",,,,,,,,,0
Thomas Anderson,University of Notre Dame,48,3,52,3,19,3,17,3,136
Bogac Ayhan,University of Notre Dame,,,21,4,30,4,24,4,75
Colin Babcock,University of Notre Dame,,,,,48,3,,,48
Kevin Bradley,University of Notre Dame,7,3,23,3,28,3,49,3,107
MATTHEW BUERGER,University of Notre Dame,,,31,3,,,,,31
Joshua Choi,University of Notre Dame,,,,,,,,,0
Jack Cobain,University of Notre Dame,,,,,,,,,0
Joseph Coumos,University of Notre Dame,27,3,33,3,,,61,3,121
Joseph Cuomos,University of Notre Dame,,,,,,,,,0
Matthew DeBlasio,University of Notre Dame,,,,,1,3,12,3,13
Frank Dyer,University of Notre Dame,,,,,79,3,,,79
Reed Fujan,University of Notre Dame,,,13,3,27,3,40,3,80
Michael Hudspith,University of Notre Dame,,,,,,,1,3,1
Kevin Hughes,University of Notre Dame,,,,,59,3,,,59
Trent Jackson,University of Notre Dame,15,3,27,3,51,3,68,3,161
Brennan Jacobsen,University of Notre Dame,,,,,21,3,,,21
Andrew Jensen,University of Notre Dame,,,,,0,3,3,3,3
Broderick Kelley,University of Notre Dame,,,,,,,,,0
Michael Kreft,University of Notre Dame,,,,,29,3,14,3,43
James Lichtenstein,University of Notre Dame,,,24,3,15,3,28,3,67
James McEldrew,University of Notre Dame,,,,,,,,,0
Shane McKenzie,University of Notre Dame,,,,,,,8,3,8
Cameron Miller,University of Notre Dame,,,,,38,3,31,3,69
Patrick Murphy,University of Notre Dame,,,,,,,,,0
John Nappi,University of Notre Dame,,,,,43,3,31,3,74
Bertie Nel,University of Notre Dame,,,,,9,3,,,9
Nicholas Nemetz,University of Notre Dame,,,,,13,3,16,3,29
Patrick Olson,University of Notre Dame,,,,,6,3,8,3,14
Joseph Petrone,University of Notre Dame,,,0,3,3,3,,,3
Michael Scheid,University of Notre Dame,,,,,,,,,0
Jin Sim,University of Notre Dame,,,,,,,,,0
Zachary Stephens,University of Notre Dame,,,,,92,3,43,3,135
Theodore Wagner,University of Notre Dame,,,,,9,3,,,9
Jonathan Williamson,University of Notre Dame,,,,,55,3,32,3,87
Harlin Bessire,University of Notre Dame,,,,,,,,,0
Lichtenstein Coumos,University of Notre Dame,,,,,,,,,0
Benjamin Jany,University of Notre Dame,12,3,,,27,3,,,39
Joseph Krause,University of Notre Dame,,,,,,,,,0
Nemetz Kreft,University of Notre Dame,,,,,,,,,0
Richard Mannix,University of Notre Dame,,,18,3,50,3,42,3,110
Peter Myers,University of Notre Dame,,,,,,,22,3,22
Gabriel Ostler,University of Notre Dame,,,,,,,,,0
Justin Plaschka,University of Notre Dame,23,3,73,3,74,3,44,3,214
Michael Schiffer,University of Notre Dame,,,,,,,,,0
Myers Wagner,University of Notre Dame,,,,,,,,,0
Robert Whitacre,University of Notre Dame,23,3,39,3,61,4,77,4,200
Tabahn Afrik,University of Notre Dame,15,2,54,3,24,3,11,3,104
Billy Barth,University of Notre Dame,,,,,,,,,0
Connor Brown,University of Notre Dame,12,3,1,3,,,,,13
Daniel Fujan,University of Notre Dame,,,,,,,,,0
Benjamin Gorski,University of Notre Dame,,,,,18,3,,,18
Matthew Grauslys,University of Notre Dame,48,3,25,3,21,3,26,3,120
Maciej Olszewski,University of Notre Dame,,,,,,,,,0
Zane Parker,University of Notre Dame,,,,,,,9,2,9
Jack Russell,University of Notre Dame,,,,,,,0,3,0
Steven Shek,University of Notre Dame,1,3,,,30,3,24,3,55
Daniel Speers,University of Notre Dame,33,2,48,2,43,3,,,124
David Stewart,University of Notre Dame,,,,,,,,,0
Zachary Stump,University of Notre Dame,,,,,,,,,0
Cristian Herrera,University of Notre Dame,,,,,,,,,0
Soren Holm,University of Notre Dame,,,,,,,0,3,0
Nicholas Milikich,University of Notre Dame,4,3,10,3,2,3,18,3,34
Jack Montesi,University of Notre Dame,30,3,45,3,43,4,44,4,162
Rex Riley,University of Notre Dame,,,,,2,2,18,3,20
Aaron Schultz,University of Notre Dame,15,3,61,3,45,3,42,4,163
Aidan Sweeney,University of Notre Dame,,,,,,,,,0
Joseph Turk,University of Notre Dame,4,3,17,3,14,3,,,35
Luke Barrett,University of Notre Dame,,,,,,,,,0
John Becker,University of Notre Dame,,,,,,,,,0
Garrett Clarke,University of Notre Dame,,,,,,,29,3,29
Will Cumberland,University of Notre Dame,6,3,34,3,40,3,,,80
Sadler McKeen,University of Notre Dame,31,3,27,3,57,3,,,115
Justin Roy,University of Notre Dame,,,,,,,,,0
Brendan Santana,University of Notre Dame,31,4,,,,,,,31
Christopher Smith,University of Notre Dame,,,,,,,,,0
David Waszak,University of Notre Dame,12,3,,,,,,,12
Zachary Yeadon,University of Notre Dame,56,3,50,3,80,3,,,186
Daniel Bannon,University of Notre Dame,,,,,,,,,0
Márton Barta,University of Notre Dame,,,,,,,,,0
Joshua Bottelberghe,University of Notre Dame,43,3,51,3,,,,,94
Austin Flaute,University of Notre Dame,30,3,15,3,,,,,45
Matthew Limbacher,University of Notre Dame,14,3,16,3,,,,,30
Maxwell Miranda,University of Notre Dame,18,3,42,3,,,,,60
David Petrison,University of Notre Dame,9,3,11,3,,,,,20
Zachary Smith,University of Notre Dame,30,3,5,3,,,,,35
Matthew Somerville,University of Notre Dame,,,,,,,,,0
Andrew Winton,University of Notre Dame,35,3,7,3,,,,,42
William Barao,University of Notre Dame,16,3,,,,,,,16
Nicholas Chase,University of Notre Dame,,,,,,,,,0
David DeBacker,University of Notre Dame,12,3,,,,,,,12
Alec DeLong,University of Notre Dame,,,,,,,,,0
John Fitzpatrick,University of Notre Dame,12,3,,,,,,,12
Jack Hoagland,University of Notre Dame,83,3,,,,,,,83
Liam Hutchinson,University of Notre Dame,,,,,,,,,0
Charles Korndorffer,University of Notre Dame,,,,,,,,,0
William Rains,University of Notre Dame,,,,,,,,,0
Michael Rosa,University of Notre Dame,,,,,,,,,0
Topher Stensby,University of Notre Dame,,,,,,,,,0
Luke Thornbrue,University of Notre Dame,,,,,,,,,0
Nicholas Torres,University of Notre Dame,,,,,,,,,0
Cason Wilburn,University of Notre Dame,0,3,,,,,,,0
Kourosh Ahani,University of Pittsburgh,,,,,12,3,17,3,29
Harris Bergman,University of Pittsburgh,,,,,24,3,2,3,26
Haden Calegan,University of Pittsburgh,,,0,4,7,3,11,3,18
Alexander Cook,University of Pittsburgh,,,0,3,,,0,3,0
Mark Cooney,University of Pittsburgh,,,,,,,,,0
Anthony Galante,University of Pittsburgh,23,3,20,3,21,3,,,64
Spencer Gray,University of Pittsburgh,,,0,2,0,3,0,3,0
Ryan Hausler,University of Pittsburgh,,,,,,,,,0
Sean Heiden,University of Pittsburgh,,,8,3,0,3,,,8
Gabriel Larson,University of Pittsburgh,2,3,5,4,1,3,26,3,34
Jacob Lenhart,University of Pittsburgh,,,,,,,0,3,0
Jonathan Lierley,University of Pittsburgh,,,,,13,3,2,3,15
Zachary Lierley,University of Pittsburgh,22,3,14,3,21,3,32,3,89
Andrew McCarthy,University of Pittsburgh,,,5,3,,,0,3,5
Luke Nosbisch,University of Pittsburgh,,,,,15,3,14,3,29
Joseph Notarianni,University of Pittsburgh,,,,,,,5,5,5
Connor O'Prey,University of Pittsburgh,,,0,3,9,3,,,9
Mackenzie Rice,University of Pittsburgh,,,15,4,0,3,6,5,21
Alexander Rodenkirk,University of Pittsburgh,,,,,7,3,,,7
Scott Simmer,University of Pittsburgh,11,3,0,3,0,3,6,3,17
Nathan Smith,University of Pittsburgh,,,,,,,,,0
Aaron Snyder,University of Pittsburgh,,,,,28,2,,,28
David Sweeney,University of Pittsburgh,,,24,3,17,3,0,3,41
Matthew Tankle,University of Pittsburgh,,,2,3,,,0,3,2
Jacob Tovey,University of Pittsburgh,,,,,0,3,0,2,0
Martin Vogel,University of Pittsburgh,,,13,3,17,3,4,3,34
Avery Warrington,University of Pittsburgh,,,8,3,7,3,,,15
Seth Wenner,University of Pittsburgh,,,,,,,,,0
Austin Doss,University of Pittsburgh,,,,,,,,,0
Thomas Jones,University of Pittsburgh,,,,,,,,,0
Bryce Kampfe,University of Pittsburgh,,,,,,,,,0
Dillon Lancenese,University of Pittsburgh,,,,,,,,,0
Tyler Matheny,University of Pittsburgh,,,,,,,,,0
Sean Rhinehart,University of Pittsburgh,,,,,,,1,3,1
Brendan Barry,University of Pittsburgh,0,3,,,,,,,0
Noah Crawford,University of Pittsburgh,,,,,,,,,0
Nathan Crikelair,University of Pittsburgh,,,,,,,,,0
Zachary Grimaldi,University of Pittsburgh,,,,,,,,,0
Brian Lovasik,University of Pittsburgh,6,3,18,3,5,4,17,3,46
Andrei Mihailescu,University of Pittsburgh,,,,,,,,,0
Michael Pichette,University of Pittsburgh,0,3,,,,,,,0
Aaron Sett,University of Pittsburgh,10,3,42,3,0,3,3,3,55
NICK STACHEL,University of Pittsburgh,9,3,4,3,,,,,13
Julian Zedeker,University of Pittsburgh,,,,,,,,,0
Walker Brooks,University of Pittsburgh,,,,,,,,,0
Thomas Cestare,University of Pittsburgh,0,3,,,,,,,0
Joseph Ference,University of Pittsburgh,22,3,,,,,,,22
Samy Helmbacher,University of Pittsburgh,7,3,35,4,67,4,64,3,173
Samuel Jenkins,University of Pittsburgh,,,,,,,,,0
Boris Kulizhnikov,University of Pittsburgh,,,,,3,3,9,2,12
Henrique Machado,University of Pittsburgh,,,,,,,28,4,28
Matthew McCool,University of Pittsburgh,,,,,,,,,0
BRIAN RAMSEY,University of Pittsburgh,7,3,30,3,,,,,37
Jonathan Robbins,University of Pittsburgh,,,,,,,,,0
Luke Smutny,University of Pittsburgh,10,3,17,3,7,4,15,4,49
Eben Vorster,University of Pittsburgh,24,3,11,3,47,3,41,4,123
Ellis Cannon,University of Pittsburgh,0,3,0,3,0,3,,,0
NATHAN ELZER,University of Pittsburgh,,,0,3,,,,,0
John Fauteux,University of Pittsburgh,,,,,0,3,20,3,20
Judd Fishman,University of Pittsburgh,,,0,3,0,3,,,0
Kevin Kondrit,University of Pittsburgh,,,,,,,,,0
Cody Lenart,University of Pittsburgh,,,,,,,,,0
Noah Marble,University of Pittsburgh,14,3,,,,,,,14
Artur Polyak,University of Pittsburgh,,,,,,,,,0
Ármin Reményi,University of Pittsburgh,,,,,,,,,0
ZACK RULLI,University of Pittsburgh,,,,,,,,,0
Ryan Schonbachler,University of Pittsburgh,0,3,1,3,2,3,,,3
Bence SZUCSIK,University of Pittsburgh,9,4,0,3,,,,,9
Blaise Vera,University of Pittsburgh,,,75,3,68,3,,,143
Jason Young,University of Pittsburgh,0,3,11,3,,,,,11
Serhii Ahadzhanian,University of Pittsburgh,0,3,2,3,,,,,2
Wesley Ahart,University of Pittsburgh,0,3,1,3,,,,,1
Hoch Alec,University of Pittsburgh,,,,,,,,,0
Jacob Bowery,University of Pittsburgh,,,,,,,,,0
Gabriel Cardenes,University of Pittsburgh,,,,,,,,,0
Jeb Darhower,University of Pittsburgh,,,,,,,,,0
Nick Garberina,University of Pittsburgh,,,,,,,,,0
Luay Hilmi,University of Pittsburgh,0,3,0,2,,,,,0
Alec Hoch,University of Pittsburgh,,,0,3,0,2,,,0
Joshua Parquet,University of Pittsburgh,0,3,,,,,,,0
Quinton Pierce,University of Pittsburgh,,,,,,,,,0
Daniel RETANA,University of Pittsburgh,,,,,,,,,0
Anton Tamkovitch,University of Pittsburgh,,,,,,,,,0
Lucas Carchiaro,University of Pittsburgh,,,,,,,,,0
Lucas Cerchiaro,University of Pittsburgh,,,,,,,,,0
Jerry Chen,University of Pittsburgh,14,3,,,,,,,14
Wojciech Dutkowiak,University of Pittsburgh,5,3,,,,,,,5
Stephen Hopta,University of Pittsburgh,,,0,3,,,,,0
Jered Moore,University of Pittsburgh,0,3,,,,,,,0
Szymon Pytkarczyk,University of Pittsburgh,,,,,,,,,0
Szymon Pytlarczyk,University of Pittsburgh,0,3,,,,,,,0
Paul Reed,University of Pittsburgh,23,3,,,,,,,23
Dominic Toledo Sanchez,University of Pittsburgh,0,3,,,,,,,0
COOPER VAN DER LAAN,University of Pittsburgh,,,40,3,,,,,40
Jack Watson,University of Pittsburgh,,,,,,,,,0
Jonathan Buerger,University of Virginia,,,,,16,3,,,16
Carl Buergler,University of Virginia,,,31,3,32,3,63,3,126
Zach Bunner,University of Virginia,,,,,,,29,4,29
Parker Camp,University of Virginia,,,,,13,2,,,13
Fred Crawford,University of Virginia,,,,,,,,,0
Jan Daniec,University of Virginia,,,,,47,3,,,47
John Denning,University of Virginia,,,3,3,,,,,3
Kyle Dudzinski,University of Virginia,,,56,4,,,,,56
Gabriel Espinosa,University of Virginia,,,,,,,,,0
Rodney Fentress,University of Virginia,,,12,3,6,3,,,18
Serge Gould,University of Virginia,,,,,19,3,,,19
Taylor Grey,University of Virginia,,,,,46,3,,,46
Nathaniel Hart,University of Virginia,,,,,37,3,,,37
Eric Holden,University of Virginia,,,,,4,3,11,4,15
David Ingraham,University of Virginia,,,,,69,3,,,69
Yannick Kaeser,University of Virginia,,,56,3,43,3,54,3,153
Jakob Kolod,University of Virginia,,,,,71,3,82,3,153
Robert Leasure,University of Virginia,,,,,,,,,0
Matthew Lockman,University of Virginia,2,3,5,3,13,3,38,3,58
Barrett Mangold,University of Virginia,,,,,,,,,0
Matheus Martini,University of Virginia,,,,,,,,,0
John Murfee,University of Virginia,,,,,38,4,,,38
Luke Papendick,University of Virginia,81,3,,,,,,,81
Jacob Pearce,University of Virginia,,,,,18,3,5,3,23
Bradley Phillips,University of Virginia,,,,,74,3,,,74
Charles Putnam,University of Virginia,,,,,,,2,3,2
Austin Quinn,University of Virginia,26,3,66,4,42,6,37,3,171
Charles Rommel,University of Virginia,,,,,6,3,13,3,19
Jordan Sacks,University of Virginia,,,,,15,3,17,3,32
Colby Shinholser,University of Virginia,,,,,15,3,36,3,51
Gregory Stoffa,University of Virginia,,,,,,,,,0
Adam Whitener,University of Virginia,,,0,3,,,,,0
Jake Bowtell,University of Virginia,,,0,3,,,,,0
Brendan Casey,University of Virginia,,,,,,,92,3,92
Peter Georgiadis,University of Virginia,3,3,20,3,14,3,43,3,80
Nicholas Magana,University of Virginia,9,3,18,3,,,,,27
Henrik Pohlmann,University of Virginia,25,3,4,3,,,,,29
Sarik Tara,University of Virginia,1,3,10,3,,,6,3,17
Anthony Albracht,University of Virginia,8,3,8,3,24,3,29,3,69
Zachary Fong,University of Virginia,44,3,38,3,68,3,73,3,223
Luke Georgiadis,University of Virginia,,,,,,,,,0
Daniel Golczewski,University of Virginia,13,3,11,3,2,3,,,26
Brandon Goldstein,University of Virginia,,,,,,,,,0
Matthew Hrabchak,University of Virginia,41,3,14,3,,,,,55
Bryce Keblish,University of Virginia,13,3,31,3,61,3,60,3,165
Gust Kouvaris,University of Virginia,19,3,8,3,15,3,5,3,47
Samuel Magnan,University of Virginia,50,3,39,3,64,3,49,3,202
Albert Subirats,University of Virginia,,,,,,,,,0
Omer Tara,University of Virginia,,,,,,,,,0
Murat Yildirim,University of Virginia,21,4,,,,,,,21
Ryan Baker,University of Virginia,14,3,39,3,66,3,76,3,195
Joseph Clark,University of Virginia,50,4,47,4,56,4,41,4,194
Henry Keel,University of Virginia,,,,,0,3,,,0
Samson Miller,University of Virginia,0,3,,,,,,,0
Jared Norton,University of Virginia,0,3,,,,,,,0
Jason Quinn,University of Virginia,,,,,,,,,0
Frederick Schubert,University of Virginia,43,3,40,3,72,3,90,3,245
Ian Shelton,University of Virginia,42,3,19,3,32,3,49,3,142
Nickolas Switzer,University of Virginia,,,,,,,,,0
Kyle Ward,University of Virginia,4,3,,,,,,,4
Jacob Wells,University of Virginia,,,13,3,17,3,,,30
John Whiteside,University of Virginia,62,3,,,,,,,62
Keefer Barnum,University of Virginia,50,3,53,3,54,3,,,157
Tristan Gess,University of Virginia,0,2,4,3,,,,,4
Robert Giller,University of Virginia,76,3,,,,,,,76
Matthew Otto,University of Virginia,57,3,51,3,31,2,,,139
Samuel Schilling,University of Virginia,0,3,23,3,55,3,,,78
George Wozencraft,University of Virginia,21,3,50,3,,,,,71
Lewis BURRAS,University of Virginia,,,,,,,,,0
Walker Creedon,University of Virginia,46,3,28,3,,,,,74
Nico Ferrara,University of Virginia,,,,,,,,,0
Jacob Greenberg,University of Virginia,,,39,3,,,,,39
Justin Grender,University of Virginia,22,3,39,3,,,,,61
Connor Killion,University of Virginia,,,,,,,,,0
Oliver Rus,University of Virginia,,,,,,,,,0
Casey Storch,University of Virginia,57,3,75,3,,,,,132
Sean Conway,University of Virginia,55,3,,,,,,,55
Maxwell Edwards,University of Virginia,23,3,,,,,,,23
Joshua Fong,University of Virginia,11,3,,,,,,,11
Daniel Gyenis,University of Virginia,9,3,,,,,,,9
Konnar Klinksiek,University of Virginia,26,3,,,,,,,26
August Lamb,University of Virginia,35,3,,,,,,,35
Henry Schutte,University of Virginia,3,3,,,,,,,3
John Walker,University of Virginia,57,3,,,,,,,57
Jack Wright,University of Virginia,37,3,,,,,,,37
Drake Becksted,Virginia Tech,,,,,0,3,0,3,0
Benjamin Borgert,Virginia Tech,,,,,,,,,0
Lucas Bureau,Virginia Tech,,,52,3,42,3,43,3,137
Owen Burns,Virginia Tech,,,,,54,3,75,3,129
Kyle Butts,Virginia Tech,,,,,48,3,68,3,116
Harrison Cefalo,Virginia Tech,,,,,44,3,37,3,81
James Crabb,Virginia Tech,,,,,10,3,,,10
Emmett Dignan,Virginia Tech,,,,,16,3,,,16
Brandon Fiala,Virginia Tech,61,3,82,3,92,3,92,3,327
Christopher Fiala,Virginia Tech,,,,,38,3,33,3,71
Ryan Hawkins,Virginia Tech,,,,,79,3,,,79
Collin Higgins,Virginia Tech,,,,,65,3,29,3,94
Nathan Hoisington,Virginia Tech,,,,,,,,,0
Kevin Hunt,Virginia Tech,,,,,,,,,0
Morgan Latimer,Virginia Tech,,,,,77,5,57,4,134
Jacob Ores,Virginia Tech,,,,,51,3,53,3,104
Robert Owen,Virginia Tech,66,3,70,3,80,3,82,4,298
Brian Rothschild,Virginia Tech,,,,,,,,,0
Thomas Shinholser,Virginia Tech,,,,,,,61,3,61
Adam Stacklin,Virginia Tech,,,13,3,3,3,6,3,22
Logan Stevens,Virginia Tech,,,46,3,67,3,56,3,169
Zachary Switzer,Virginia Tech,40,3,38,3,28,4,55,3,161
Michal Szuba,Virginia Tech,,,47,3,64,3,40,3,151
Nicholas Tremols,Virginia Tech,,,,,49,3,,,49
John Trope,Virginia Tech,,,,,,,,,0
Anthony Zoldork,Virginia Tech,,,,,,,,,0
Mauro Castro-Silva,Virginia Tech,46,3,77,3,40,3,32,3,195
Peter Conzola,Virginia Tech,,,,,,,,,0
Eric Delmonte,Virginia Tech,,,,,,,,,0
Justin Edwards,Virginia Tech,0,3,6,3,18,3,17,3,41
Jack Gigliotti,Virginia Tech,,,,,,,12,3,12
Christopher Grimmett-Norris,Virginia Tech,29,3,,,0,3,,,29
Harrison Pierce,Virginia Tech,2,3,3,3,16,3,14,3,35
Mauro Silva,Virginia Tech,,,,,,,,,0
Brandon Tutty,Virginia Tech,,,,,,,,,0
Christopher Wang,Virginia Tech,,,,,,,,,0
Brent Benedict,Virginia Tech,19,4,9,3,,,,,28
Jordan Bovee,Virginia Tech,,,,,,,,,0
Eduardo Castro-Silva,Virginia Tech,59,3,44,3,13,3,,,116
Michael Craddock,Virginia Tech,35,3,56,3,34,3,16,3,141
Steffen Erickson,Virginia Tech,,,,,,,,,0
Ian Ho,Virginia Tech,2,3,22,3,26,3,28,3,78
Oscar Ike,Virginia Tech,,,,,,,,,0
John Kale,Virginia Tech,,,,,,,,,0
Nicholas McGarry,Virginia Tech,,,,,,,,,0
Christopher Outlaw,Virginia Tech,,,,,,,,,0
Nathan Pawlowicz,Virginia Tech,2,3,0,3,,,,,2
Benjamin Schiesl,Virginia Tech,54,3,44,3,61,3,49,3,208
Norbert Szabo,Virginia Tech,27,3,57,3,67,3,41,3,192
Adam Thomas,Virginia Tech,,,,,,,,,0
Sean Workman,Virginia Tech,25,3,24,3,4,3,25,3,78
Aaron Boyd,Virginia Tech,,,,,,,,,0
