Name,Team,FR,Events-FR,SO,Events-SO,JR,Events-JR,SR,Events-SR,Total Points
Nicholas McCrory,Duke University,,,,,,,96,3,96
Patrick Miller,Duke University,56,3,66,4,22,4,28,4,172
Tze Ng,Duke University,,,,,,,,,0
Benedict Parfit,Duke University,,,,,,,,,0
Dylan Payne,Duke University,0,3,12,3,20,3,24,2,56
James Peek,Duke University,,,,,,,40,3,40
Cole Plambeck,Duke University,,,,,,,11,3,11
Ryan Prince,Duke University,,,,,,,,,0
Deon Reid,Duke University,,,18,3,,,,,18
Clay Sanders,Duke University,,,,,2,3,0,3,2
Michael Seaberg,Duke University,0,3,0,3,24,3,2,3,26
Samuel Sherman,Duke University,,,,,,,4,3,4
Lucas Suchomel,Duke University,,,,,,,,,0
Kazumu Takabayashi,Duke University,10,4,9,4,32,4,17,4,68
Tyler Toren,Duke University,,,,,0,3,0,3,0
Adriaan Venter,Duke University,,,,,,,,,0
David Armstrong,Duke University,,,,,4,3,17,3,21
Nicholas Bigot,Duke University,0,3,0,3,,,0,3,0
Michael Camarda,Duke University,,,,,,,,,0
John Forese,Duke University,,,,,,,,,0
Joshua Furth,Duke University,,,,,,,,,0
Marco Hosfeld,Duke University,0,3,,,,,,,0
Matthew Johnson,Duke University,,,18,3,34,3,17,3,69
Ryan Nicholson,Duke University,,,,,,,,,0
John Pearson,Duke University,,,,,,,,,0
Alexander Pena,Duke University,3,3,,,5,3,0,3,8
Robert Christensen,Duke University,3,3,,,,,,,3
Riley Hickman,Duke University,24,3,,,1,3,0,3,25
Judson Howard,Duke University,32,3,30,3,60,3,64,3,186
Yusuke Legard,Duke University,0,3,10,3,17,3,20,3,47
Evan Moretti,Duke University,52,3,23,3,69,3,77,3,221
Joshua Owsiany,Duke University,27,3,31,3,33,3,15,3,106
Maximilian St. George,Duke University,,,,,,,,,0
Sean Tate,Duke University,5,3,6,3,11,3,22,3,44
Sheldon Boboff,Duke University,,,6,3,10,3,19,3,35
Nathaniel Hernandez,Duke University,59,3,63,3,67,3,72,3,261
Roger Kriegl,Duke University,23,3,,,,,,,23
Daichi Matsuda,Duke University,,,0,3,0,4,0,3,0
Christopher Murphy,Duke University,0,3,,,,,,,0
Emir Ozsuer,Duke University,,,,,,,,,0
Noah Stevens,Duke University,,,0,4,,,,,0
Eric Strickland,Duke University,,,,,,,,,0
Miles Williams,Duke University,0,3,42,3,55,3,47,4,144
NATHANIEL HARTLEY,Duke University,2,3,7,4,7,3,,,16
Spencer Lafata,Duke University,2,3,2,3,0,3,,,4
Zachary Washart,Duke University,0,3,0,3,0,3,,,0
Tianyi Zeng,Duke University,47,3,,,,,,,47
Adam Zimmer,Duke University,0,3,10,3,5,3,,,15
Harel Anolick,Duke University,11,3,6,3,,,,,17
John Day,Duke University,,,,,,,,,0
David Hallaron,Duke University,0,3,0,3,,,,,0
Cole Reznick,Duke University,1,3,22,3,,,,,23
Everett Werner,Duke University,0,3,2,3,,,,,2
Matthew Whelan,Duke University,,,0,3,,,,,0
Henry Wu,Duke University,,,5,3,,,,,5
Colson Zucker,Duke University,0,3,11,3,,,,,11
Jonah Cagley,Duke University,24,3,,,,,,,24
Christopher Dalla Valle,Duke University,0,4,,,,,,,0
Brendan Driscoll,Duke University,,,,,,,,,0
Charlie Gingrich,Duke University,1,3,,,,,,,1
Phillip Gong,Duke University,,,,,,,,,0
Matthew Knox,Duke University,,,,,,,,,0
Coleman Kredich,Duke University,0,3,,,,,,,0
Kevin Repice,Duke University,,,,,,,,,0
Nicholas Talati,Duke University,0,3,,,,,,,0
William Tenpas,Duke University,,,,,,,,,0
Nicholas Viers,Duke University,,,,,,,,,0
Lucas Akker,Florida State University,,,,,,,,,0
Ian Apple,Florida State University,,,,,0,3,9,3,9
Harrison Brogden,Florida State University,,,,,5,3,,,5
Nicholas Brown,Florida State University,,,,,,,,,0
Kalonji Cole,Florida State University,,,9,3,,,49,3,58
Jason Coombs,Florida State University,57,3,68,3,67,3,51,3,243
John Deedrick,Florida State University,,,,,,,,,0
Kyle Doxtater,Florida State University,,,3,3,3,3,0,3,6
Tyler Fozkos,Florida State University,,,,,,,,,0
Joshua Friedel,Florida State University,,,,,35,3,29,4,64
DOMINIC GIORDANO,Florida State University,,,69,3,80,3,85,3,234
Dylan Grisell,Florida State University,30,3,63,3,44,2,69,3,206
Thaxter Hensley,Florida State University,,,18,3,27,3,41,2,86
Richard Hildebrand,Florida State University,,,,,12,3,,,12
Jacob Kingsford,Florida State University,,,,,,,,,0
David Knight,Florida State University,,,,,54,3,75,3,129
Jemal LeGrand,Florida State University,5,3,0,3,0,3,,,5
Michael Lewark,Florida State University,,,,,62,3,,,62
Cadell Lyons,Florida State University,,,,,31,3,0,3,31
Dylan Marsolek,Florida State University,,,,,,,,,0
Kevin Matheus,Florida State University,,,,,,,,,0
Jason McCormick,Florida State University,42,3,17,3,42,2,58,3,159
Dustin Miller,Florida State University,,,,,,,5,3,5
max mitchell,Florida State University,,,,,,,,,0
Paul Murray,Florida State University,,,,,65,3,,,65
Thomas Neubacher,Florida State University,,,,,68,3,,,68
Jared Pike,Florida State University,,,,,22,3,,,22
Derek Pridemore,Florida State University,,,,,,,,,0
Alex Rodriguez,Florida State University,,,,,16,3,,,16
Kevin Rogers,Florida State University,,,,,60,3,9,3,69
Pavel Sankovich,Florida State University,,,,,,,96,4,96
Juan Sequera,Florida State University,,,,,,,,,0
JR Sims,Florida State University,,,,,,,,,0
Anthony Soto,Florida State University,,,,,,,,,0
Robert Swanbeck,Florida State University,,,,,,,,,0
Michael Thomas,Florida State University,,,,,,,,,0
Calvin Bryant,Florida State University,14,3,14,2,12,3,10,3,50
Gavin Colley,Florida State University,,,,,,,,,0
Soren Evans,Florida State University,,,,,,,,,0
Storm Hewitt,Florida State University,,,,,,,0,3,0
Trevor Hine,Florida State University,,,,,,,,,0
Franklin Horpel,Florida State University,,,,,,,,,0
Cameron Johnson,Florida State University,0,3,19,3,0,2,,,19
Connor Kalisz,Florida State University,4,3,50,3,45,3,38,3,137
Samuel Mitchum,Florida State University,,,,,,,,,0
Chad Mylin,Florida State University,0,3,23,3,40,3,27,3,90
Joseph Plechy,Florida State University,,,,,6,3,20,2,26
Jonathan Ratliff,Florida State University,,,,,,,,,0
Tyler Roberge,Florida State University,52,3,22,3,43,3,19,3,136
Marc Rojas,Florida State University,,,,,0,3,0,3,0
Jacob Urbano,Florida State University,,,3,3,0,3,,,3
Guy Fernandes,Florida State University,,,,,,,,,0
Noah Hensley,Florida State University,26,4,,,58,3,53,3,137
Cooper Hoffman,Florida State University,,,,,,,,,0
Kanoa Kaleoaloha,Florida State University,14,3,24,3,34,3,73,3,145
Matthew Kraemer,Florida State University,,,,,,,,,0
Emir Muratovic,Florida State University,16,3,9,3,35,3,49,4,109
Ayooluwakunmi Ogunfeibo,Florida State University,,,,,,,,,0
William Pisani,Florida State University,,,31,3,61,3,69,3,161
Jake Ryan,Florida State University,,,,,,,,,0
Stefan Stojmenovic,Florida State University,,,,,21,3,18,4,39
Rafael Van Leeuwarde,Florida State University,,,0,3,2,3,,,2
John Vann,Florida State University,,,,,,,0,3,0
Griffin Alaniz,Florida State University,,,7,4,56,3,48,4,111
Matthew Ankerholz,Florida State University,,,,,,,8,3,8
Daniel Bis,Florida State University,,,,,,,,,0
Giorgio DelGrosso,Florida State University,,,,,,,,,0
Aidan Faminoff,Florida State University,41,3,56,3,9,2,29,3,135
Tristan Fineman,Florida State University,,,,,,,,,0
Nicholas Finley,Florida State University,,,,,,,,,0
Maverick Layne,Florida State University,,,,,,,,,0
Rudo Loock,Florida State University,0,3,7,3,0,3,19,3,26
Derek Peeples,Florida State University,,,,,,,,,0
Max Polianski,Florida State University,11,3,51,3,38,3,37,3,137
Felipe Ribeiro de Souza,Florida State University,17,3,32,3,,,,,49
Nate Samson,Florida State University,,,13,4,,,,,13
Vladimir STEFANIK,Florida State University,6,3,2,3,7,4,26,3,41
Connor Thorne,Florida State University,,,,,,,,,0
Patrick Butkovich,Florida State University,,,0,3,,,,,0
Brandon Chason,Florida State University,,,,,,,,,0
Alexander Cronin,Florida State University,,,,,0,3,,,0
Joshua Davidson,Florida State University,67,3,72,3,57,3,,,196
Julio Horrego,Florida State University,,,,,,,,,0
Gavin Jones,Florida State University,,,,,,,,,0
Oszkar LAVOTHA,Florida State University,,,,,,,,,0
John Mataxas,Florida State University,,,4,3,,,,,4
Chad McGuire,Florida State University,,,,,,,,,0
Adrian Moya,Florida State University,,,,,,,,,0
Paxton Rhoads,Florida State University,,,,,,,,,0
Clay Riemenschneider,Florida State University,,,,,,,,,0
Ryan Telford,Florida State University,25,3,13,3,,,,,38
Cameron Thatcher,Florida State University,,,53,3,62,3,41,3,156
Izaak Bastian,Florida State University,33,3,40,3,,,,,73
Riley Dafoe,Florida State University,,,,,,,,,0
Robert Delk,Florida State University,,,,,,,,,0
Cooper Deryk,Florida State University,0,3,,,,,,,0
Kyle DiMatteo,Florida State University,,,,,,,,,0
Charles Gijsendorfer,Florida State University,,,,,,,,,0
Dillon Hall,Florida State University,,,,,,,,,0
Garrison Johnson,Florida State University,0,3,,,,,,,0
Jakub Ksiazek,Florida State University,52,3,29,3,,,,,81
Andres Lares,Florida State University,,,,,,,,,0
Jackson Lucas,Florida State University,,,,,13,3,,,13
Max McCusker,Florida State University,5,4,33,3,,,,,38
Jorge Roche,Florida State University,,,,,,,,,0
Jackson Seith,Florida State University,,,4,3,,,,,4
Nate Stadler,Florida State University,,,,,,,,,0
Matthew Strickland,Florida State University,,,,,,,,,0
Levente Varro,Florida State University,,,,,,,,,0
John Yambor-Maul,Florida State University,,,,,,,,,0
Adrian Aguilar,Florida State University,,,,,,,,,0
Balazs Berecz,Florida State University,2,3,,,,,,,2
Domen Demšar,Florida State University,,,,,,,,,0
Mohamed GHAFFARI,Florida State University,,,,,,,,,0
Maurice Ingenrieth,Florida State University,13,3,,,,,,,13
Blake Moran,Florida State University,,,,,,,,,0
Scott Pekarske,Florida State University,17,3,,,,,,,17
Francesco PERON,Florida State University,,,,,,,,,0
Quintin Scholz,Florida State University,,,,,,,,,0
Ryland Sun,Florida State University,,,,,,,,,0
Cameron Taddonio,Florida State University,,,,,,,,,0
Nicholas Vance,Florida State University,8,3,,,,,,,8
Peter VARJASI,Florida State University,75,3,,,,,,,75
Nevada Wood,Florida State University,,,18,3,,,,,18
Jarrod Blanton,Georgia Institute of Technology,,,,,,,,,0
Robert Borowicz,Georgia Institute of Technology,6,3,,,2,3,3,3,11
Elliott Brockelbank,Georgia Institute of Technology,,,,,34,3,9,3,43
Andrew Chetcuti,Georgia Institute of Technology,,,,,0,3,0,3,0
Nicholas Colletti,Georgia Institute of Technology,,,,,,,,,0
Nico Duijn,Georgia Institute of Technology,,,,,41,3,39,3,80
Omar Eteiba,Georgia Institute of Technology,11,3,23,3,22,2,13,2,69
Tyler Graff,Georgia Institute of Technology,,,,,,,,,0
Chase Gutknecht,Georgia Institute of Technology,,,,,,,,,0
Bradley Homza,Georgia Institute of Technology,44,3,49,3,82,3,,,175
Jacob Johnson,Georgia Institute of Technology,,,,,4,3,23,3,27
